season,player_id,rec_context_targets,rec_avg_depth_target,rec_deep_targets,rec_short_targets,rec_left_targets,rec_middle_targets,rec_right_targets,rec_redzone_targets,rec_deep_target_rate,rec_short_target_rate,rec_left_target_rate,rec_middle_target_rate,rec_right_target_rate,rec_redzone_target_rate,rec_route_out_break,rec_route_hitch,rec_route_in_break,rec_route_screen,rec_route_vertical,rec_route_other
2024,00-0033591,56,11.375,16,10,10,12,34,4,0.2857142857142857,0.17857142857142858,0.17857142857142858,0.21428571428571427,0.6071428571428571,0.07142857142857142,0.16666666666666666,0.2962962962962963,0.25925925925925924,0.05555555555555555,0.2222222222222222,0
2024,00-0033699,41,-1.4390243902439024,0,38,10,10,21,3,0,0.926829268292683,0.24390243902439024,0.24390243902439024,0.5121951219512195,0.07317073170731707,0.1951219512195122,0.14634146341463414,0.12195121951219512,0.5121951219512195,0.024390243902439025,0
2024,00-0033854,28,1.7142857142857142,1,23,6,4,18,6,0.03571428571428571,0.8214285714285714,0.21428571428571427,0.14285714285714285,0.6428571428571429,0.21428571428571427,0.37037037037037035,0.14814814814814814,0.1111111111111111,0.2962962962962963,0.07407407407407407,0
2024,00-0033857,26,5.5,2,12,12,7,7,6,0.07692307692307693,0.46153846153846156,0.46153846153846156,0.2692307692307692,0.2692307692307692,0.23076923076923078,0.15384615384615385,0.15384615384615385,0.5384615384615384,0.15384615384615385,0,0
2024,00-0033858,111,4.882882882882883,10,58,41,30,40,18,0.09009009009009009,0.5225225225225225,0.36936936936936937,0.2702702702702703,0.36036036036036034,0.16216216216216217,0.25225225225225223,0.15315315315315314,0.26126126126126126,0.21621621621621623,0.11711711711711711,0
2024,00-0033863,1,1,0,1,1,0,0,1,0,1,1,0,0,1,1,0,0,0,0,0
2024,00-0033873,1,-1,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0
2024,00-0033881,67,5.625,8,32,25,13,26,7,0.11940298507462686,0.47761194029850745,0.373134328358209,0.19402985074626866,0.3880597014925373,0.1044776119402985,0.3076923076923077,0.23076923076923078,0.15384615384615385,0.13846153846153847,0.16923076923076924,0
2024,00-0033885,99,5.257731958762887,9,58,36,25,36,16,0.09090909090909091,0.5858585858585859,0.36363636363636365,0.25252525252525254,0.36363636363636365,0.16161616161616163,0.3469387755102041,0.20408163265306123,0.24489795918367346,0.07142857142857142,0.1326530612244898,0
2024,00-0033891,11,10.818181818181818,4,4,5,2,4,0,0.36363636363636365,0.36363636363636365,0.45454545454545453,0.18181818181818182,0.36363636363636365,0,0.2727272727272727,0.09090909090909091,0.2727272727272727,0.09090909090909091,0.2727272727272727,0
