season,player_id,team,qb_dropbacks,qb_attempts,qb_deep_attempts,qb_left_attempts,qb_middle_attempts,qb_right_attempts,qb_redzone_dropbacks,qb_avg_air_yards,qb_deep_throw_rate,qb_left_throw_rate,qb_middle_throw_rate,qb_right_throw_rate,qb_redzone_throw_rate,qb_target_pos_OTHER,qb_target_pos_RB,qb_target_pos_TE,qb_target_pos_WR,qb_route_in_break,qb_route_other,qb_route_screen,qb_route_vertical,qb_route_out_break,qb_route_hitch
2019,00-0029665,BAL,43,43,5,10,18,10,7,7.421052631578948,0.11627906976744186,0.23255813953488372,0.4186046511627907,0.23255813953488372,0.16279069767441862,0,0.13513513513513514,0.32432432432432434,0.5405405405405406,0.10810810810810811,0.6756756756756757,0.05405405405405406,0.16216216216216217,0,0
2019,00-0029701,TEN,318,318,65,100,74,109,42,9.576923076923077,0.20440251572327045,0.31446540880503143,0.23270440251572327,0.34276729559748426,0.1320754716981132,0.0035842293906810036,0.12544802867383512,0.25089605734767023,0.6200716845878136,0.06498194945848375,0.6967509025270758,0.07581227436823104,0.1624548736462094,0,0
2019,00-0029857,TB,4,4,0,1,1,2,0,3,0,0.25,0.25,0.5,0,0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0,1,0,0,0,0
2019,00-0030465,ATL,1,1,0,0,1,0,0,-4,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0
2019,00-0030520,LV,10,10,4,5,0,5,1,11.2,0.4,0.5,0,0.5,0.1,0,0.2,0.3,0.5,0.2,0.6,0,0.2,0,0
2019,00-0030533,BUF,53,53,10,16,16,18,7,7.901960784313726,0.18867924528301888,0.3018867924528302,0.3018867924528302,0.33962264150943394,0.1320754716981132,0,0.2,0.2,0.6,0.08,0.68,0.04,0.2,0,0
2019,00-0030564,HOU,2,2,0,0,0,2,2,4.5,0,0,0,1,1,0.5,0.5,0,0,0,0.5,0,0.5,0,0
2019,00-0030669,MIA,3,3,1,1,0,1,0,10,0.3333333333333333,0.3333333333333333,0,0.3333333333333333,0,0,0.5,0.5,0,0,0.5,0,0.5,0,0
2019,00-0031051,BUF,1,1,1,0,0,1,0,21,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0
2019,00-0031062,NE,1,1,0,0,0,1,0,8,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0
2019,00-0031076,NYJ,1,1,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0
2019,00-0031235,CLE,2,2,2,0,0,2,0,32.5,1,0,0,1,0,0,0,0,1,0,0.5,0,0.5,0,0
2019,00-0031237,NO,208,208,29,72,42,82,30,6.183673469387755,0.13942307692307693,0.34615384615384615,0.20192307692307693,0.3942307692307692,0.14423076923076922,0,0.28342245989304815,0.22994652406417113,0.48663101604278075,0.0748663101604278,0.7219251336898396,0.0962566844919786,0.10695187165775401,0,0
2019,00-0031280,LV,543,543,86,179,146,186,81,6.539961013645224,0.15837937384898712,0.3296500920810313,0.26887661141804786,0.3425414364640884,0.14917127071823205,0,0.23858921161825727,0.3278008298755187,0.4336099585062241,0.06860706860706861,0.7193347193347194,0.06652806652806653,0.14553014553014554,0,0
2019,00-0031288,HOU,42,42,9,11,4,22,4,8.45945945945946,0.21428571428571427,0.2619047619047619,0.09523809523809523,0.5238095238095238,0.09523809523809523,0.09090909090909091,0.21212121212121213,0.24242424242424243,0.45454545454545453,0.030303030303030304,0.7272727272727273,0.06060606060606061,0.18181818181818182,0,0
