season,player_id,rec_context_targets,rec_avg_depth_target,rec_deep_targets,rec_short_targets,rec_left_targets,rec_middle_targets,rec_right_targets,rec_redzone_targets,rec_deep_target_rate,rec_short_target_rate,rec_left_target_rate,rec_middle_target_rate,rec_right_target_rate,rec_redzone_target_rate,rec_route_hitch,rec_route_in_break,rec_route_screen,rec_route_out_break,rec_route_vertical,rec_route_other
2023,00-0033572,21,12.047619047619047,6,3,11,3,7,2,0.2857142857142857,0.14285714285714285,0.5238095238095238,0.14285714285714285,0.3333333333333333,0.09523809523809523,0.15,0.25,0.05,0.4,0.15,0
2023,00-0033576,3,2,0,2,3,0,0,0,0,0.6666666666666666,1,0,0,0,0.3333333333333333,0.3333333333333333,0,0.3333333333333333,0,0
2023,00-0033589,7,7,1,3,2,0,5,1,0.14285714285714285,0.42857142857142855,0.2857142857142857,0,0.7142857142857143,0.14285714285714285,0.14285714285714285,0.14285714285714285,0,0.7142857142857143,0,0
2023,00-0033591,56,11.963636363636363,22,13,21,13,21,8,0.39285714285714285,0.23214285714285715,0.375,0.23214285714285715,0.375,0.14285714285714285,0.16363636363636364,0.2909090909090909,0.09090909090909091,0.21818181818181817,0.23636363636363636,0
2023,00-0033699,74,-1.1081081081081081,2,67,23,10,41,9,0.02702702702702703,0.9054054054054054,0.3108108108108108,0.13513513513513514,0.5540540540540541,0.12162162162162163,0.10810810810810811,0.06756756756756757,0.4594594594594595,0.2972972972972973,0.06756756756756757,0
2023,00-0033757,17,8.529411764705882,4,8,10,3,4,3,0.23529411764705882,0.47058823529411764,0.5882352941176471,0.17647058823529413,0.23529411764705882,0.17647058823529413,0.3125,0.125,0.0625,0.3125,0.1875,0
2023,00-0033854,7,4.428571428571429,0,5,3,0,4,0,0,0.7142857142857143,0.42857142857142855,0,0.5714285714285714,0,0.14285714285714285,0.2857142857142857,0.2857142857142857,0.2857142857142857,0,0
2023,00-0033857,47,7.191489361702128,8,18,21,8,18,3,0.1702127659574468,0.3829787234042553,0.44680851063829785,0.1702127659574468,0.3829787234042553,0.06382978723404255,0.1956521739130435,0.2826086956521739,0.15217391304347827,0.2608695652173913,0.10869565217391304,0
2023,00-0033858,70,6.542857142857143,9,33,24,18,28,9,0.12857142857142856,0.4714285714285714,0.34285714285714286,0.2571428571428571,0.4,0.12857142857142856,0.13043478260869565,0.2898550724637681,0.17391304347826086,0.3333333333333333,0.07246376811594203,0
2023,00-0033863,1,-1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0
2023,00-0033881,144,5.006993006993007,12,78,48,40,55,11,0.08333333333333333,0.5416666666666666,0.3333333333333333,0.2777777777777778,0.3819444444444444,0.0763888888888889,0.2916666666666667,0.20833333333333334,0.13194444444444445,0.2986111111111111,0.06944444444444445,0
2023,00-0033885,123,4.6016260162601625,15,78,42,25,56,20,0.12195121951219512,0.6341463414634146,0.34146341463414637,0.2032520325203252,0.45528455284552843,0.16260162601626016,0.18487394957983194,0.23529411764705882,0.15126050420168066,0.35294117647058826,0.07563025210084033,0
2023,00-0033891,64,13.609375,20,14,30,8,26,11,0.3125,0.21875,0.46875,0.125,0.40625,0.171875,0.20967741935483872,0.22580645161290322,0.016129032258064516,0.27419354838709675,0.27419354838709675,0
2023,00-0033893,20,-1.15,0,20,6,3,11,0,0,1,0.3,0.15,0.55,0,0.05,0.05,0.5,0.4,0,0
2023,00-0033895,70,4.0285714285714285,5,44,24,14,32,11,0.07142857142857142,0.6285714285714286,0.34285714285714286,0.2,0.45714285714285713,0.15714285714285714,0.2,0.2571428571428571,0.14285714285714285,0.2857142857142857,0.11428571428571428,0
2023,00-0033897,65,-1.78125,0,61,29,3,32,15,0,0.9384615384615385,0.4461538461538462,0.046153846153846156,0.49230769230769234,0.23076923076923078,0.015384615384615385,0.046153846153846156,0.6307692307692307,0.3076923076923077,0,0
2023,00-0033906,87,0.05813953488372093,1,78,27,27,32,9,0.011494252873563218,0.896551724137931,0.3103448275862069,0.3103448275862069,0.367816091954023,0.10344827586206896,0.16091954022988506,0.16091954022988506,0.39080459770114945,0.27586206896551724,0.011494252873563218,0
