season,player_id,rec_context_targets,rec_avg_depth_target,rec_deep_targets,rec_short_targets,rec_left_targets,rec_middle_targets,rec_right_targets,rec_redzone_targets,rec_deep_target_rate,rec_short_target_rate,rec_left_target_rate,rec_middle_target_rate,rec_right_target_rate,rec_redzone_target_rate,rec_route_other,rec_route_screen,rec_route_vertical,rec_route_in_break,rec_route_out_break,rec_route_hitch
2021,00-0031387,18,6.444444444444445,2,9,6,10,2,3,0.1111111111111111,0.5,0.3333333333333333,0.5555555555555556,0.1111111111111111,0.16666666666666666,0.7777777777777778,0,0.2222222222222222,0,0,0
2021,00-0031408,114,13.131578947368421,41,28,50,30,34,20,0.35964912280701755,0.24561403508771928,0.43859649122807015,0.2631578947368421,0.2982456140350877,0.17543859649122806,0.4824561403508772,0.06140350877192982,0.3508771929824561,0.10526315789473684,0,0
2021,00-0031428,67,11.43939393939394,18,14,26,12,28,7,0.26865671641791045,0.208955223880597,0.3880597014925373,0.1791044776119403,0.417910447761194,0.1044776119402985,0.696969696969697,0,0.18181818181818182,0.12121212121212122,0,0
2021,00-0031484,9,7.555555555555555,1,3,2,2,5,0,0.1111111111111111,0.3333333333333333,0.2222222222222222,0.2222222222222222,0.5555555555555556,0,0.8888888888888888,0,0.1111111111111111,0,0,0
2021,00-0031544,104,11.076923076923077,27,25,45,16,43,19,0.25961538461538464,0.2403846153846154,0.4326923076923077,0.15384615384615385,0.41346153846153844,0.18269230769230768,0.5192307692307693,0.057692307692307696,0.27884615384615385,0.14423076923076922,0,0
2021,00-0031545,5,31.6,5,0,2,1,2,0,1,0,0.4,0.2,0.4,0,0.2,0,0.8,0,0,0
2021,00-0031547,73,11.726027397260275,23,15,30,16,27,6,0.3150684931506849,0.2054794520547945,0.410958904109589,0.2191780821917808,0.3698630136986301,0.0821917808219178,0.4931506849315068,0,0.3150684931506849,0.1917808219178082,0,0
2021,00-0031549,64,14.28125,22,11,32,13,19,7,0.34375,0.171875,0.5,0.203125,0.296875,0.109375,0.5,0.0625,0.40625,0.03125,0,0
2021,00-0031558,17,5.294117647058823,2,11,2,7,8,1,0.11764705882352941,0.6470588235294118,0.11764705882352941,0.4117647058823529,0.47058823529411764,0.058823529411764705,0.8235294117647058,0.058823529411764705,0.11764705882352941,0,0,0
2021,00-0031585,19,6.555555555555555,3,8,4,7,7,7,0.15789473684210525,0.42105263157894735,0.21052631578947367,0.3684210526315789,0.3684210526315789,0.3684210526315789,0.5555555555555556,0.05555555555555555,0.3333333333333333,0.05555555555555555,0,0
2021,00-0031588,164,11.140243902439025,37,40,74,20,70,34,0.22560975609756098,0.24390243902439024,0.45121951219512196,0.12195121951219512,0.4268292682926829,0.2073170731707317,0.5670731707317073,0.042682926829268296,0.2926829268292683,0.0975609756097561,0,0
2021,00-0031595,3,-1.6666666666666667,0,3,1,1,1,1,0,1,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.3333333333333333,0,0,0,0
2021,00-0031598,2,1.5,0,2,1,1,0,1,0,1,0.5,0.5,0,0.5,1,0,0,0,0,0
