season,player_id,rec_context_targets,rec_avg_depth_target,rec_deep_targets,rec_short_targets,rec_left_targets,rec_middle_targets,rec_right_targets,rec_redzone_targets,rec_deep_target_rate,rec_short_target_rate,rec_left_target_rate,rec_middle_target_rate,rec_right_target_rate,rec_redzone_target_rate,rec_route_in_break,rec_route_other,rec_route_screen,rec_route_vertical,rec_route_out_break,rec_route_hitch
2019,00-0032780,14,0.07142857142857142,0,13,8,0,6,2,0,0.9285714285714286,0.5714285714285714,0,0.42857142857142855,0.14285714285714285,0,0.5714285714285714,0.2857142857142857,0.14285714285714285,0,0
2019,00-0032782,13,2.1538461538461537,0,8,5,5,3,4,0,0.6153846153846154,0.38461538461538464,0.38461538461538464,0.23076923076923078,0.3076923076923077,0,0.7692307692307693,0.23076923076923078,0,0,0
2019,00-0032791,33,12.303030303030303,11,11,10,9,14,1,0.3333333333333333,0.3333333333333333,0.30303030303030304,0.2727272727272727,0.42424242424242425,0.030303030303030304,0.06060606060606061,0.5151515151515151,0.18181818181818182,0.24242424242424243,0,0
2019,00-0032794,12,6.833333333333333,3,8,6,1,5,1,0.25,0.6666666666666666,0.5,0.08333333333333333,0.4166666666666667,0.08333333333333333,0,0.6666666666666666,0,0.3333333333333333,0,0
2019,00-0032795,5,6.4,0,2,3,1,1,0,0,0.4,0.6,0.2,0.2,0,0,1,0,0,0,0
2019,00-0032813,4,-2.5,0,3,0,2,2,0,0,0.75,0,0.5,0.5,0,0,0.5,0.5,0,0,0
2019,00-0032897,5,2,0,5,3,0,2,1,0,1,0.6,0,0.4,0.2,0.2,0.8,0,0,0,0
2019,00-0032918,26,1.5769230769230769,0,23,14,3,9,4,0,0.8846153846153846,0.5384615384615384,0.11538461538461539,0.34615384615384615,0.15384615384615385,0.038461538461538464,0.8846153846153846,0.07692307692307693,0,0,0
2019,00-0032935,15,25.4,10,4,6,2,7,0,0.6666666666666666,0.26666666666666666,0.4,0.13333333333333333,0.4666666666666667,0,0,0.3333333333333333,0.06666666666666667,0.6,0,0
2019,00-0032940,41,1.3170731707317074,0,35,17,11,13,6,0,0.8536585365853658,0.4146341463414634,0.2682926829268293,0.3170731707317073,0.14634146341463414,0,0.9024390243902439,0.0975609756097561,0,0,0
2019,00-0032945,19,11.052631578947368,4,4,8,5,6,1,0.21052631578947367,0.21052631578947367,0.42105263157894735,0.2631578947368421,0.3157894736842105,0.05263157894736842,0.10526315789473684,0.7368421052631579,0,0.15789473684210525,0,0
2019,00-0032951,16,11.875,6,4,3,3,10,0,0.375,0.25,0.1875,0.1875,0.625,0,0.0625,0.625,0.0625,0.25,0,0
2019,00-0032956,5,1.8,0,5,2,0,3,1,0,1,0.4,0,0.6,0.2,0,1,0,0,0,0
2019,00-0032972,9,4,1,7,3,4,2,1,0.1111111111111111,0.7777777777777778,0.3333333333333333,0.4444444444444444,0.2222222222222222,0.1111111111111111,0.2222222222222222,0.6666666666666666,0,0.1111111111111111,0,0
2019,00-0032975,5,-1,0,4,2,1,2,0,0,0.8,0.4,0.2,0.4,0,0,0.6,0.4,0,0,0
2019,00-0032977,11,10.545454545454545,2,1,2,4,5,3,0.18181818181818182,0.09090909090909091,0.18181818181818182,0.36363636363636365,0.45454545454545453,0.2727272727272727,0.09090909090909091,0.5454545454545454,0,0.36363636363636365,0,0
2019,00-0032980,33,17.363636363636363,16,3,15,5,13,4,0.48484848484848486,0.09090909090909091,0.45454545454545453,0.15151515151515152,0.3939393939393939,0.12121212121212122,0.06060606060606061,0.6666666666666666,0,0.2727272727272727,0,0
2019,00-0032986,8,2,0,6,2,1,5,1,0,0.75,0.25,0.125,0.625,0.125,0,0.5,0.375,0.125,0,0
2019,00-0033009,148,9.304054054054054,30,44,54,39,55,11,0.20270270270270271,0.2972972972972973,0.36486486486486486,0.2635135135135135,0.3716216216216216,0.07432432432432433,0.10810810810810811,0.6824324324324325,0.033783783783783786,0.17567567567567569,0,0
2019,00-0033025,43,2.116279069767442,1,34,15,12,16,3,0.023255813953488372,0.7906976744186046,0.3488372093023256,0.27906976744186046,0.37209302325581395,0.06976744186046512,0.023255813953488372,0.813953488372093,0.13953488372093023,0.023255813953488372,0,0
2019,00-0033040,89,12.853932584269662,29,32,33,18,38,7,0.3258426966292135,0.3595505617977528,0.3707865168539326,0.20224719101123595,0.42696629213483145,0.07865168539325842,0.011235955056179775,0.6629213483146067,0.033707865168539325,0.29213483146067415,0,0
2019,00-0033045,71,0.647887323943662,1,65,19,19,33,12,0.014084507042253521,0.9154929577464789,0.2676056338028169,0.2676056338028169,0.4647887323943662,0.16901408450704225,0,0.8028169014084507,0.16901408450704225,0.028169014084507043,0,0
2019,00-0033080,18,6.055555555555555,1,8,7,4,7,4,0.05555555555555555,0.4444444444444444,0.3888888888888889,0.2222222222222222,0.3888888888888889,0.2222222222222222,0,1,0,0,0,0
2019,00-0033090,77,10.25,23,15,31,23,22,13,0.2987012987012987,0.19480519480519481,0.4025974025974026,0.2987012987012987,0.2857142857142857,0.16883116883116883,0.02631578947368421,0.7236842105263158,0,0.25,0,0
2019,00-0033094,11,27.636363636363637,8,2,6,3,2,0,0.7272727272727273,0.18181818181818182,0.5454545454545454,0.2727272727272727,0.18181818181818182,0,0,0.45454545454545453,0,0.5454545454545454,0,0
2019,00-0033110,89,6.640449438202247,17,38,19,21,49,19,0.19101123595505617,0.42696629213483145,0.21348314606741572,0.23595505617977527,0.550561797752809,0.21348314606741572,0.033707865168539325,0.6853932584269663,0.12359550561797752,0.15730337078651685,0,0
2019,00-0033111,33,10.181818181818182,9,11,15,8,10,4,0.2727272727272727,0.3333333333333333,0.45454545454545453,0.24242424242424243,0.30303030303030304,0.12121212121212122,0.03125,0.625,0.1875,0.15625,0,0
2019,00-0033114,5,10.4,1,1,4,0,1,0,0.2,0.2,0.8,0,0.2,0,0,0.5,0.25,0.25,0,0
2019,00-0033118,70,-0.6029411764705882,1,63,39,8,21,7,0.014285714285714285,0.9,0.5571428571428572,0.11428571428571428,0.3,0.1,0,0.7352941176470589,0.25,0.014705882352941176,0,0
2019,00-0033119,1,0,0,1,0,1,0,1,0,1,0,1,0,1,NA,NA,NA,NA,0,0
2019,00-0033127,71,14.23943661971831,24,20,34,10,27,7,0.3380281690140845,0.28169014084507044,0.4788732394366197,0.14084507042253522,0.38028169014084506,0.09859154929577464,0.07042253521126761,0.5492957746478874,0.07042253521126761,0.30985915492957744,0,0
2019,00-0033132,1,3,0,1,1,0,0,0,0,1,1,0,0,0,NA,NA,NA,NA,0,0
2019,00-0033164,3,0,0,2,2,0,1,1,0,0.6666666666666666,0.6666666666666666,0,0.3333333333333333,0.3333333333333333,0,0.3333333333333333,0.6666666666666666,0,0,0
2019,00-0033215,1,2,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0
