season,player_id,team,qb_dropbacks,qb_attempts,qb_deep_attempts,qb_left_attempts,qb_middle_attempts,qb_right_attempts,qb_redzone_dropbacks,qb_avg_air_yards,qb_deep_throw_rate,qb_left_throw_rate,qb_middle_throw_rate,qb_right_throw_rate,qb_redzone_throw_rate,qb_target_pos_RB,qb_target_pos_TE,qb_target_pos_WR,qb_target_pos_OTHER,qb_route_in_break,qb_route_other,qb_route_screen,qb_route_vertical,qb_route_out_break,qb_route_hitch
2021,00-0033357,NO,143,143,27,51,22,59,17,7.451127819548872,0.1888111888111888,0.35664335664335667,0.15384615384615385,0.4125874125874126,0.11888111888111888,0.2047244094488189,0.18110236220472442,0.6141732283464567,0,0.11811023622047244,0.6771653543307087,0.06299212598425197,0.14173228346456693,0,0
2021,00-0033662,DAL,50,50,12,22,4,21,8,9.02127659574468,0.24,0.44,0.08,0.42,0.16,0.19148936170212766,0.2127659574468085,0.5957446808510638,0,0.0851063829787234,0.6595744680851063,0.0425531914893617,0.2127659574468085,0,0
2021,00-0033681,NYJ,1,1,0,1,0,0,1,8,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0
2021,00-0033733,PHI,2,2,0,0,1,1,2,1,0,0,0.5,0.5,1,0,0.5,0,0.5,0,0.5,0.5,0,0,0
2021,00-0033856,TB,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
2021,00-0033869,BUF,8,8,0,4,2,2,0,5.125,0,0.5,0.25,0.25,0,0.5,0.25,0.25,0,0.125,0.75,0,0.125,0,0
2021,00-0033873,KC,688,688,119,250,151,256,117,7.338905775075988,0.17296511627906977,0.3633720930232558,0.2194767441860465,0.37209302325581395,0.17005813953488372,0.1781701444622793,0.2536115569823435,0.5666131621187801,0.0016051364365971107,0.06290322580645161,0.7,0.10806451612903226,0.12903225806451613,0,0
2021,00-0033908,LA,1,1,1,0,0,1,0,25,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0
2021,00-0033936,JAX,2,2,1,2,0,0,0,13.5,0.5,1,0,0,0,0,1,0,0,0,0,0.5,0.5,0,0
2021,00-0034052,CAR,1,1,0,0,0,1,0,13,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0
2021,00-0034177,DET,95,95,13,42,19,32,15,6.308510638297872,0.1368421052631579,0.4421052631578947,0.2,0.3368421052631579,0.15789473684210525,0.2,0.12631578947368421,0.6526315789473685,0.021052631578947368,0.043478260869565216,0.6956521739130435,0.11956521739130435,0.14130434782608695,0,0
2021,00-0034343,ATL,11,11,3,4,3,4,0,11,0.2727272727272727,0.36363636363636365,0.2727272727272727,0.36363636363636365,0,0,0.3,0.7,0,0.1,0.7,0,0.2,0,0
2021,00-0034348,DEN,1,1,1,0,1,0,0,15,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0
2021,00-0034401,NYJ,137,137,13,54,32,46,13,5.916666666666667,0.0948905109489051,0.39416058394160586,0.23357664233576642,0.3357664233576642,0.0948905109489051,0.3787878787878788,0.07575757575757576,0.5454545454545454,0,0.061068702290076333,0.7175572519083969,0.06870229007633588,0.15267175572519084,0,0
2021,00-0034418,DAL,3,3,3,0,1,2,0,22.333333333333332,1,0,0.3333333333333333,0.6666666666666666,0,0.3333333333333333,0,0.6666666666666666,0,0,0,0,1,0,0
2021,00-0034577,WAS,22,22,3,4,8,7,3,7.105263157894737,0.13636363636363635,0.18181818181818182,0.36363636363636365,0.3181818181818182,0.13636363636363635,0.05263157894736842,0.21052631578947367,0.7368421052631579,0,0.1111111111111111,0.7222222222222222,0.05555555555555555,0.1111111111111111,0,0
2021,00-0034771,PIT,58,58,7,13,14,30,11,6.315789473684211,0.1206896551724138,0.22413793103448276,0.2413793103448276,0.5172413793103449,0.1896551724137931,0.14285714285714285,0.26785714285714285,0.5892857142857143,0,0.08928571428571429,0.6785714285714286,0.05357142857142857,0.17857142857142858,0,0
2021,00-0034775,ARI,1,1,1,0,0,1,0,33,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0
2021,00-0034796,BAL,425,425,79,124,121,133,59,9.275590551181102,0.18588235294117647,0.2917647058823529,0.2847058823529412,0.3129411764705882,0.1388235294117647,0.14893617021276595,0.2765957446808511,0.574468085106383,0,0.07547169811320754,0.738544474393531,0.05390835579514825,0.1320754716981132,0,0
2021,00-0034829,MIA,1,1,1,0,0,1,0,28,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0
2021,00-0034855,CLE,464,464,103,161,72,183,57,8.753588516746412,0.22198275862068967,0.34698275862068967,0.15517241379310345,0.39439655172413796,0.12284482758620689,0.20595533498759305,0.3002481389578164,0.49379652605459057,0,0.0525,0.63,0.095,0.2225,0,0
2021,00-0034857,BUF,675,675,135,274,114,258,135,8.196594427244582,0.2,0.4059259259259259,0.1688888888888889,0.38222222222222224,0.2,0.14910858995137763,0.1312803889789303,0.7179902755267423,0.0016207455429497568,0.052202283849918436,0.6655791190864601,0.06688417618270799,0.21533442088091354,0,0
2021,00-0034860,NYG,1,1,0,0,0,1,0,13,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0
2021,00-0034869,CAR,442,442,71,164,80,161,48,7.239506172839506,0.16063348416289594,0.37104072398190047,0.18099547511312217,0.36425339366515835,0.1085972850678733,0.24870466321243523,0.15284974093264247,0.5984455958549223,0,0.07272727272727272,0.6649350649350649,0.1012987012987013,0.16103896103896104,0,0
2021,00-0034899,LA,5,5,1,0,1,3,0,4.75,0.2,0,0.2,0.6,0,0,0,1,0,0,0.75,0.25,0,0,0
2021,00-0034955,DEN,2,2,1,1,1,0,0,5.5,0.5,0.5,0.5,0,0,0,0,1,0,0,1,0,0,0,0
2021,00-0034960,NE,2,2,1,1,0,1,0,5.5,0.5,0.5,0,0.5,0,0.5,0,0.5,0,0,1,0,0,0,0
2021,00-0035040,DET,1,1,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0
2021,00-0035156,DET,3,3,0,2,0,1,0,10,0,0.6666666666666666,0,0.3333333333333333,0,0.3333333333333333,0,0.3333333333333333,0.3333333333333333,NA,NA,NA,NA,0,0
2021,00-0035228,ARI,514,514,102,179,98,204,81,7.948024948024948,0.19844357976653695,0.34824902723735407,0.19066147859922178,0.3968871595330739,0.1575875486381323,0.17926565874730022,0.18142548596112312,0.6393088552915767,0,0.05856832971800434,0.5943600867678959,0.14533622559652928,0.2017353579175705,0,0
2021,00-0035289,PHI,66,66,11,21,5,34,8,5.766666666666667,0.16666666666666666,0.3181818181818182,0.07575757575757576,0.5151515151515151,0.12121212121212122,0.2807017543859649,0.22807017543859648,0.49122807017543857,0,0.017543859649122806,0.7017543859649122,0.14035087719298245,0.14035087719298245,0,0
2021,00-0035544,DET,1,1,1,0,0,1,0,24,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0
2021,00-0035676,TEN,2,2,2,0,0,2,0,21,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0
2021,00-0035685,CHI,1,1,0,0,1,0,1,9,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0
2021,00-0035689,BUF,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,NA,NA,NA,NA,0,0
2021,00-0035704,DEN,120,120,30,34,23,53,10,9.972972972972974,0.25,0.2833333333333333,0.19166666666666668,0.44166666666666665,0.08333333333333333,0.1559633027522936,0.28440366972477066,0.5596330275229358,0,0.027522935779816515,0.6422018348623854,0.06422018348623854,0.26605504587155965,0,0
2021,00-0035710,NYG,384,384,63,109,75,176,46,7.313019390581718,0.1640625,0.2838541666666667,0.1953125,0.4583333333333333,0.11979166666666667,0.16954022988505746,0.21264367816091953,0.6149425287356322,0.0028735632183908046,0.10115606936416185,0.6791907514450867,0.08959537572254335,0.13005780346820808,0,0
2021,00-0035719,SF,2,2,2,0,0,2,1,19.5,1,0,0,1,0.5,0,0,1,0,0,0,0,1,0,0
2021,00-0035752,ARI,11,11,0,1,2,6,1,4.222222222222222,0,0.09090909090909091,0.18181818181818182,0.5454545454545454,0.09090909090909091,0.2222222222222222,0.2222222222222222,0.5555555555555556,0,0,0.6666666666666666,0,0.3333333333333333,0,0
2021,00-0035859,NO,1,1,0,1,0,0,0,9,0,1,0,0,0,0,0,1,0,NA,NA,NA,NA,0,0
2021,00-0035864,DEN,1,1,0,0,0,1,1,-5,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0
2021,00-0035889,KC,1,1,0,1,0,0,0,11,0,1,0,0,0,0,0,1,0,NA,NA,NA,NA,0,0
2021,00-0035993,BAL,208,208,31,48,57,80,34,7.524064171122995,0.14903846153846154,0.23076923076923078,0.27403846153846156,0.38461538461538464,0.16346153846153846,0.13114754098360656,0.33879781420765026,0.5300546448087432,0,0.12637362637362637,0.7087912087912088,0.01098901098901099,0.15384615384615385,0,0
2021,00-0036197,NYG,66,66,11,24,9,27,5,7.233333333333333,0.16666666666666666,0.36363636363636365,0.13636363636363635,0.4090909090909091,0.07575757575757576,0.1896551724137931,0.20689655172413793,0.603448275862069,0,0.06896551724137931,0.6896551724137931,0.05172413793103448,0.1896551724137931,0,0
2021,00-0036212,MIA,410,410,65,176,81,130,59,7.048969072164948,0.15853658536585366,0.4292682926829268,0.1975609756097561,0.3170731707317073,0.14390243902439023,0.14397905759162305,0.29581151832460734,0.5575916230366492,0.002617801047120419,0.12368421052631579,0.6368421052631579,0.06578947368421052,0.1736842105263158,0,0
2021,00-0036226,IND,5,5,2,2,1,2,0,12.6,0.4,0.4,0.2,0.4,0,0,0.2,0.8,0,0,0.8,0,0.2,0,0
2021,00-0036264,GB,66,66,13,28,8,26,11,7.967741935483871,0.19696969696969696,0.42424242424242425,0.12121212121212122,0.3939393939393939,0.16666666666666666,0.13114754098360656,0.14754098360655737,0.7213114754098361,0,0.05,0.65,0.11666666666666667,0.18333333333333332,0,0
2021,00-0036275,DET,1,1,0,1,0,0,0,-12,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0
2021,00-0036322,MIN,4,4,1,0,0,4,0,9,0.25,0,0,1,0,0.25,0,0.75,0,0,0.75,0,0.25,0,0
2021,00-0036355,LAC,710,710,121,253,121,297,126,7.538002980625931,0.1704225352112676,0.3563380281690141,0.1704225352112676,0.4183098591549296,0.17746478873239438,0.2003012048192771,0.21084337349397592,0.588855421686747,0,0.060882800608828,0.6940639269406392,0.076103500761035,0.1689497716894977,0,0
