season,player_id,rec_context_targets,rec_avg_depth_target,rec_deep_targets,rec_short_targets,rec_left_targets,rec_middle_targets,rec_right_targets,rec_redzone_targets,rec_deep_target_rate,rec_short_target_rate,rec_left_target_rate,rec_middle_target_rate,rec_right_target_rate,rec_redzone_target_rate,rec_route_vertical,rec_route_other,rec_route_screen,rec_route_in_break,rec_route_out_break,rec_route_hitch
2022,00-0035544,15,8.933333333333334,2,4,3,4,8,1,0.13333333333333333,0.26666666666666666,0.2,0.26666666666666666,0.5333333333333333,0.06666666666666667,0.06666666666666667,0.8,0,0.13333333333333333,0,0
2022,00-0035547,13,6.769230769230769,1,6,4,1,8,5,0.07692307692307693,0.46153846153846156,0.3076923076923077,0.07692307692307693,0.6153846153846154,0.38461538461538464,0.15384615384615385,0.46153846153846156,0.07692307692307693,0.3076923076923077,0,0
2022,00-0035562,4,6.5,0,2,1,1,2,0,0,0.5,0.25,0.25,0.5,0,0,1,0,0,0,0
2022,00-0035567,10,1.2,0,8,3,3,4,0,0,0.8,0.3,0.3,0.4,0,0.1,0.8,0.1,0,0,0
2022,00-0035572,11,5.909090909090909,1,4,3,4,4,2,0.09090909090909091,0.36363636363636365,0.2727272727272727,0.36363636363636365,0.36363636363636365,0.18181818181818182,0,0.9090909090909091,0.09090909090909091,0,0,0
2022,00-0035593,4,13,1,1,0,0,4,0,0.25,0.25,0,0,1,0,0,1,0,0,0,0
2022,00-0035594,18,1.7222222222222223,1,15,5,5,8,1,0.05555555555555555,0.8333333333333334,0.2777777777777778,0.2777777777777778,0.4444444444444444,0.05555555555555555,0,0.9444444444444444,0.05555555555555555,0,0,0
2022,00-0035603,2,6,0,0,0,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0
2022,00-0035609,1,6,0,0,0,1,0,0,0,0,0,1,0,0,NA,NA,NA,NA,0,0
2022,00-0035621,3,7.333333333333333,0,0,2,0,1,0,0,0,0.6666666666666666,0,0.3333333333333333,0,0,1,0,0,0,0
