season,week,player_id,xfp_24,fpoe_24,xfp_roll3_24,xfp_roll5_24,fpoe_roll3_24,fpoe_roll5_24
2022,6,00-0026143,NA,NA,NA,NA,NA,NA
2022,7,00-0026143,NA,NA,NA,NA,NA,NA
2022,10,00-0026143,NA,NA,NA,NA,NA,NA
2022,11,00-0026143,NA,NA,NA,NA,NA,NA
2022,12,00-0026143,NA,NA,NA,NA,NA,NA
2022,13,00-0026143,NA,NA,NA,NA,NA,NA
2022,15,00-0026143,NA,NA,NA,NA,NA,NA
2020,4,00-0026158,NA,NA,NA,NA,NA,NA
2020,5,00-0026158,NA,NA,NA,NA,NA,NA
2020,6,00-0026158,NA,NA,NA,NA,NA,NA
2020,9,00-0026158,NA,NA,NA,NA,NA,NA
2020,11,00-0026158,NA,NA,NA,NA,NA,NA
2021,10,00-0026158,NA,NA,NA,NA,NA,NA
2021,11,00-0026158,NA,NA,NA,NA,NA,NA
2022,1,00-0026158,NA,NA,NA,NA,NA,NA
2022,2,00-0026158,NA,NA,NA,NA,NA,NA
2022,3,00-0026158,NA,NA,NA,NA,NA,NA
2022,14,00-0026158,NA,NA,NA,NA,NA,NA
2022,18,00-0026158,NA,NA,NA,NA,NA,NA
2023,13,00-0026158,NA,NA,NA,NA,NA,NA
2023,14,00-0026158,NA,NA,NA,NA,NA,NA
2023,15,00-0026158,NA,NA,NA,NA,NA,NA
2023,16,00-0026158,NA,NA,NA,NA,NA,NA
2023,17,00-0026158,NA,NA,NA,NA,NA,NA
2023,19,00-0026158,NA,NA,NA,NA,NA,NA
2024,4,00-0026158,NA,NA,NA,NA,NA,NA
2024,5,00-0026158,NA,NA,NA,NA,NA,NA
2024,6,00-0026158,NA,NA,NA,NA,NA,NA
2024,9,00-0026158,NA,NA,NA,NA,NA,NA
2024,10,00-0026158,NA,NA,NA,NA,NA,NA
2024,17,00-0026158,NA,NA,NA,NA,NA,NA
2024,18,00-0026158,NA,NA,NA,NA,NA,NA
2025,1,00-0026158,19.5992,-3.3992000000000004,NA,NA,NA,NA
2025,2,00-0026158,16.121599999999997,-3.3615999999999957,19.5992,19.5992,-3.3992000000000004,-3.3992000000000004
2025,3,00-0026158,13.582799999999999,-7.902799999999999,17.8604,17.8604,-3.380399999999998,-3.380399999999998
2025,4,00-0026158,21.910600000000002,-14.6506,16.43453333333333,16.43453333333333,-4.887866666666665,-4.887866666666665
2025,6,00-0026158,14.589199999999998,2.1708,17.205,17.80355,-8.638333333333332,-7.328549999999999
2025,7,00-0026158,26.503999999999998,-0.5239999999999974,16.6942,17.16068,-6.7942,-5.428679999999999
2025,8,00-0026158,19.1628,5.1572,21.001266666666666,18.541639999999997,-4.334599999999999,-4.853639999999999
2025,9,00-0026158,26.205999999999996,8.494,20.08533333333333,19.14988,2.2680000000000007,-3.1498799999999996
