season,week,defense,position,def_pos_residual,def_pos_fppg_allowed
2024,12,CHI,RB,1.964004005913736,7.800000000000001
2024,12,CHI,TE,2.877354844126555,8.05
2024,12,CHI,WR,1.5784662684906943,7.38
2024,12,CLE,QB,-5.3359871577739835,9.200000000000001
2024,12,CLE,RB,-1.3865450497065668,6.7
2024,12,CLE,TE,1.4715882300603984,5.4
2024,12,CLE,WR,1.2650417633734228,6.75
2024,12,DAL,QB,16.784553064466365,30.4
2024,12,DAL,RB,-6.793838132912934,2.8333333333333335
2024,12,DAL,TE,0.5677319721941947,4.866666666666667
2024,12,DAL,WR,3.0633755785658385,7.200000000000001
2024,12,DEN,QB,-3.321407308009898,7.280000000000001
2024,12,DEN,RB,3.036215781064092,6.1
2024,12,DEN,TE,-4.31830382023359,3.95
2024,12,DEN,WR,3.6544521337344533,10.100000000000001
2024,12,DET,QB,-4.123296592248344,12.98
2024,12,DET,RB,-4.594894465515855,1.75
2024,12,DET,TE,-1.7878301385343205,0
2024,12,DET,WR,-1.8656772470071026,4.54
2024,12,GB,QB,3.805358161219087,10.46
2024,12,GB,RB,-4.286618933890642,3.366666666666667
2024,12,GB,TE,0.9705748222532221,8.600000000000001
2024,12,GB,WR,-5.283895662129564,2.275
2024,12,HOU,QB,5.152954603850489,18.12
2024,12,HOU,RB,5.25600536104762,10.7
2024,12,HOU,TE,1.6334576543824417,4.5
2024,12,HOU,WR,0.5559047118732021,6.42
2024,12,IND,QB,-5.954352910996624,10.76
2024,12,IND,RB,2.3693973436520595,12.933333333333332
2024,12,IND,TE,-3.9491292021070494,3.4000000000000004
2024,12,IND,WR,-1.3727035118110529,6.5
2024,12,KC,QB,4.814362690694143,16.52
2024,12,KC,RB,-1.1713553935358356,5.066666666666666
2024,12,KC,TE,-0.7241022625536535,2.466666666666667
2024,12,KC,WR,3.1267787188672886,8.675
2024,12,LA,QB,-8.881243152879701,7.430000000000001
2024,12,LA,RB,13.27809673369504,26.200000000000003
2024,12,LA,TE,-2.1649701862263355,1.9500000000000002
2024,12,LA,WR,0.7331531164255223,5.199999999999999
2024,12,LAC,QB,0.046889893394382653,22.58
2024,12,LAC,RB,1.4743454387814328,9.066666666666666
2024,12,LAC,TE,2.294542327754398,7.1000000000000005
2024,12,LAC,WR,-1.5383776356609191,5.5
2024,12,LV,QB,1.2755367940966664,19.42
2024,12,LV,RB,-3.043918474802442,2.4333333333333336
2024,12,LV,TE,-2.5897314933505218,0.4
2024,12,LV,WR,2.648874286335605,9.58
2024,12,MIA,QB,0.060376318082131064,15.48
2024,12,MIA,RB,-1.9561837730847715,3.6
2024,12,MIA,TE,4.971366375190261,10.4
2024,12,MIA,WR,-1.6750682566598059,3.12
2024,12,MIN,QB,15.558254420345678,26.900000000000002
2024,12,MIN,RB,-0.31070680477115326,5.233333333333333
2024,12,MIN,TE,4.949855606478536,9.9
2024,12,MIN,WR,4.485745867826463,9.780000000000001
2024,12,NE,QB,12.455452222465542,28.48
2024,12,NE,RB,-1.084466070128819,7.533333333333334
2024,12,NE,TE,2.5246040080154435,7.2666666666666675
2024,12,NE,WR,0.059779578951701315,6.5
2024,12,NYG,QB,4.926110182331094,20.66
2024,12,NYG,RB,6.152347470426786,14.3
2024,12,NYG,TE,-4.178148384372318,3.3
2024,12,NYG,WR,-0.6473572709201478,3.783333333333333
2024,12,PHI,QB,1.9903214300221919,19.22
2024,12,PHI,RB,-0.10736791292708059,6.85
2024,12,PHI,TE,-2.4359619343217505,0.75
2024,12,PHI,WR,-0.04113019999527972,6.685714285714286
2024,12,PIT,QB,-1.6333038276147356,15.46
2024,12,PIT,RB,5.093386587869899,10.85
2024,12,PIT,TE,-0.8739517871262525,4.033333333333333
2024,12,PIT,WR,-5.807868693825882,6.3
2024,12,SEA,QB,-8.519876019440307,10.3
2024,12,SEA,RB,-4.571310229408945,2.6500000000000004
2024,12,SEA,TE,1.4264588015677566,6.766666666666667
2024,12,SEA,WR,-1.5452513406254977,4.533333333333333
2024,12,SF,QB,2.197514640480886,14.719999999999999
2024,12,SF,RB,3.2994323494245137,11.933333333333334
2024,12,SF,TE,1.11262490840774,5.1499999999999995
2024,12,SF,WR,-1.5005545284074742,3.9
2024,12,TB,QB,-3.0163772212791966,5.44
2024,12,TB,RB,0.10998374651910832,6.2
2024,12,TB,TE,-1.5372640519210181,2.7
2024,12,TB,WR,-1.452075595623124,4.15
2024,12,TEN,QB,3.0391203724166775,15.680000000000003
2024,12,TEN,RB,-5.7889137436033105,2.3333333333333335
2024,12,TEN,TE,2.836234224739459,6.55
2024,12,TEN,WR,-1.319516489613687,5.760000000000001
2024,12,WAS,QB,1.0118996050460254,8.840000000000002
2024,12,WAS,RB,-0.9449376476045845,4.466666666666667
2024,12,WAS,TE,5.646511693488434,8.2
2024,12,WAS,WR,0.552217309788961,5.640000000000001
2024,13,ARI,QB,3.6071187224038717,19.599999999999998
2024,13,ARI,RB,-2.144329327419598,4.233333333333333
2024,13,ARI,TE,1.143323974101203,6.75
2024,13,ARI,WR,-0.49456018226722237,6.1000000000000005
2024,13,ATL,QB,-12.283306005196561,7.9799999999999995
2024,13,ATL,RB,-1.7286219187093137,1.9333333333333333
2024,13,ATL,TE,-3.224750978299938,0.4666666666666667
2024,13,ATL,WR,-0.16993063994171764,5.775
2024,13,BAL,QB,-3.5061423876076425,17.619999999999997
2024,13,BAL,RB,-4.383741382180609,6.366666666666668
2024,13,BAL,TE,3.797731349328111,11
2024,13,BAL,WR,-2.9335500871933036,2.575
2024,13,BUF,QB,-16.570619377446054,4.16
2024,13,BUF,RB,1.9507794044051752,7.866666666666667
2024,13,BUF,TE,-14.382877990854634,1.2000000000000002
2024,13,BUF,WR,-3.2778888830180626,2.22
2024,13,CAR,QB,-5.78457832822491,5.2
2024,13,CAR,RB,2.135680803760119,11.433333333333335
2024,13,CAR,TE,-4.381210693326171,4
2024,13,CAR,WR,2.0309073260438604,6.3
2024,13,CHI,QB,-0.06435291099662166,16.94
2024,13,CHI,RB,-3.4295177327828794,12.650000000000002
2024,13,CHI,TE,2.2972210894765674,7.95
2024,13,CHI,WR,-3.012637859728737,5.675000000000001
2024,13,CIN,QB,1.0976417396425582,13.78
2024,13,CIN,RB,4.989180766693708,12.366666666666667
2024,13,CIN,TE,3.1625254860867527,6.800000000000001
2024,13,CIN,WR,2.8794654949558764,8.1
2024,13,CLE,QB,-6.534463205903339,12.16
2024,13,CLE,RB,0.9500253270235532,5.666666666666667
2024,13,CLE,TE,-0.16226866963250144,2
2024,13,CLE,WR,0.6051332489759521,9.375
2024,13,DAL,QB,8.223357057285009,16.82
2024,13,DAL,RB,-0.19834958681422554,5.266666666666667
2024,13,DAL,TE,-0.6927986327781477,2.6333333333333333
2024,13,DAL,WR,-1.715595608346524,2.75
2024,13,DEN,QB,17.41350630718928,32.98
2024,13,DEN,RB,1.0703680060241205,6.066666666666667
2024,13,DEN,TE,2.647333355982811,7.233333333333333
2024,13,DEN,WR,5.181613723446399,9.9
2024,13,DET,QB,10.368254420345679,26.14
2024,13,DET,RB,-3.8547507995781243,4.2
2024,13,DET,TE,-2.3501443935214645,4.1
2024,13,DET,WR,2.4907017379603693,9
2024,13,GB,QB,6.5561588890800735,25.200000000000003
2024,13,GB,RB,1.313154852924594,10.7
2024,13,GB,TE,0.524604008015442,6.2
2024,13,GB,WR,-0.5541904542353776,7.45
