season,team,team_pass_attempts_pg,team_carries_pg,team_pass_yd_pg,team_rush_yd_pg,team_points_proxy_pg,team_attempts_total,team_carries_total,prior_season,team_prior_pass_attempts_pg,team_prior_carries_pg,team_prior_pass_yd_pg,team_prior_rush_yd_pg,team_prior_points_pg,target_team_pass_attempts_pg,target_team_carries_pg,team_prior_pass_rate,team_prior_neutral_pass_rate,team_prior_plays_pg,team_prior_redzone_pass_rate,team_prior_redzone_rush_rate,team_prior_deep_throw_rate,team_prior_shotgun_rate,team_prior_no_huddle_rate,team_prior_avg_air_yards
2017,LAC,36.4375,26.1875,284.4375,99.6875,32.09625,583,419,2016,36.25,24.875,274.125,94.375,32.4025,36.4375,26.1875,0,0,0,0,0,0,0,0,0
2018,LAC,32,24.9375,269.75,117.0625,36.49625,512,399,2017,36.4375,26.1875,284.4375,99.6875,32.09625,32,24.9375,0,0,0,0,0,0,0,0,0
2019,LAC,37.3125,22.875,290.5,90.8125,31.20125,597,366,2018,32,24.9375,269.75,117.0625,36.49625,37.3125,22.875,0.5865687303252886,0.5459770114942529,59.5625,0.5753424657534246,0.4246575342465754,0.18806509945750452,0.5498426023084995,0.00839454354669464,7.732421875
2020,LAC,39.1875,29.125,284.25,111.5,34.77,627,466,2019,37.3125,22.875,290.5,90.8125,31.20125,39.1875,29.125,0.6392785571142284,0.54216867469879515,62.375,0.6129032258064516,0.3870967741935484,0.23259493670886075,0.6953907815631263,0.07314629258517034,8.507537688442211
2021,LAC,39.64705882352941,24.88235294117647,294.94117647058823,107.88235294117646,37.88,674,423,2020,39.1875,29.125,284.25,111.5,34.77,39.64705882352941,24.88235294117647,0.6104240282685512,0.5466377440347071,70.75,0.532608695652174,0.46739130434782605,0.1852409638554217,0.6475265017667845,0.06537102473498234,7.524720893141946
2022,LAC,41.8235294117647,23.764705882352942,281.8235294117647,89.6470588235294,31.64941176470588,711,404,2021,39.64705882352941,24.88235294117647,294.94117647058823,107.88235294117646,37.88,41.8235294117647,23.764705882352942,0.6575943810359964,0.578494623655914,67,0.5829787234042553,0.4170212765957447,0.1697054698457223,0.6005267778753293,0.06672519754170325,7.551263001485884
2023,LAC,37.1764705882353,25.352941176470587,253.64705882352942,96.58823529411765,29.33411764705883,632,431,2022,41.8235294117647,23.764705882352942,281.8235294117647,89.6470588235294,31.64941176470588,37.1764705882353,25.352941176470587,0.6704152249134948,0.6367112810707457,68,0.6173469387755102,0.38265306122448983,0.15691489361702127,0.6410034602076125,0.07525951557093426,6.358649789029536
2024,LAC,30,27.235294117647058,229.47058823529412,110.70588235294117,31.661176470588234,510,463,2023,37.1764705882353,25.352941176470587,253.64705882352942,96.58823529411765,29.33411764705883,30,27.235294117647058,0.6467931345980127,0.5845511482254697,65.11764705882354,0.5838509316770186,0.4161490683229814,0.1937869822485207,0.8057813911472448,0.15356820234869015,7.488924050632911
2025,LAC,33.470588235294116,27.41176470588235,232.52941176470588,121.58823529411765,31.107058823529414,569,466,2024,30,27.235294117647058,229.47058823529412,110.70588235294117,31.661176470588234,33.470588235294116,27.41176470588235,0.5772994129158513,0.5727482678983834,60.11764705882353,0.49673202614379086,0.5032679738562091,0.21903052064631956,0.6545988258317026,0.04011741682974559,8.554901960784314
2015,LV,37.8125,23.125,258.0625,91.0625,30.55375,605,370,2014,39.3125,21.0625,216,77.5,23.39,37.8125,23.125,0,0,0,0,0,0,0,0,0
2016,LV,37.25,27.125,258.5625,120.125,35.980000000000004,596,434,2015,37.8125,23.125,258.0625,91.0625,30.55375,37.25,27.125,0,0,0,0,0,0,0,0,0
2017,LV,34.875,23.125,235.0625,97.125,29.740000000000002,558,370,2016,37.25,27.125,258.5625,120.125,35.980000000000004,34.875,23.125,0,0,0,0,0,0,0,0,0
2018,LV,34.75,24.1875,253.5625,101.75,28.442500000000003,556,387,2017,34.875,23.125,235.0625,97.125,29.740000000000002,34.75,24.1875,0,0,0,0,0,0,0,0,0
2019,LV,32.6875,27.3125,256.875,118.3125,32.48125,523,437,2018,34.75,24.1875,253.5625,101.75,28.442500000000003,32.6875,27.3125,0.6188565697091274,0.52,62.3125,0.49640287769784175,0.5035971223021583,0.14285714285714285,0.6028084252758275,0.09227683049147442,6.807553956834532
2020,LV,34.4375,28.5625,273.9375,119.75,37.432500000000005,551,457,2019,32.6875,27.3125,256.875,118.3125,32.48125,34.4375,28.5625,0.5727272727272728,0.4844559585492228,61.875,0.581081081081081,0.41891891891891897,0.162748643761302,0.5060606060606061,0.08585858585858586,6.62906309751434
2021,LV,36.94117647058823,24.352941176470587,282.8235294117647,95.11764705882354,31.177647058823528,628,414,2020,34.4375,28.5625,273.9375,119.75,37.432500000000005,36.94117647058823,24.352941176470587,0.5863066538090647,0.5521821631878557,64.8125,0.5284974093264249,0.47150259067357514,0.19827586206896552,0.5747348119575699,0.08871745419479267,8.152450090744102
2022,LV,34.470588235294116,25.176470588235293,246,121.11764705882354,32.77529411764706,586,428,2021,36.94117647058823,24.352941176470587,282.8235294117647,95.11764705882354,31.177647058823528,34.470588235294116,25.176470588235293,0.6350230414746544,0.5810526315789474,63.8235294117647,0.5714285714285714,0.4285714285714286,0.20119225037257824,0.6294930875576037,0.06543778801843318,8.144904458598726
2023,LV,32.76470588235294,24.294117647058822,215.64705882352942,90.70588235294117,26.28470588235294,557,413,2022,34.470588235294116,25.176470588235293,246,121.11764705882354,32.77529411764706,32.76470588235294,24.294117647058822,0.6163342830009497,0.5157657657657657,61.94117647058823,0.6204379562043796,0.3795620437956204,0.22275641025641027,0.5251661918328585,0.04368471035137702,9.14505119453925
