season,team,team_projected_pass_attempts_pg,team_projected_carries_pg
2020,PIT,33.46006776426698,25.14494858440171
2020,SEA,34.36217363365801,25.983798010481145
2020,SF,33.6290673302392,26.744245608991704
2020,TB,37.30391353438228,25.49192234185341
2020,TEN,33.625168126144686,26.88232421875
2020,WAS,34.084894434992094,25.045097110814023
2021,ARI,37.0496049982493,27.628009591256372
2021,ATL,36.71079968208875,25.612586686317155
2021,BAL,30.03382316468254,30.61085689484127
2021,BUF,37.72985877671654,26.6618238200729
2021,CAR,33.76627240138844,27.637699534942183
2021,CHI,34.894470091540406,26.095960595776774
2021,CIN,35.61982938936064,26.73379250364095
2021,CLE,32.28624847374847,28.967996630106004
2021,DAL,35.20801919434732,26.912678328804347
2021,DEN,34.70450773185148,26.946303286939777
2021,DET,36.54958330514971,25.248967107876805
2021,GB,34.69906556372549,27.115153068438914
2021,HOU,35.008080948998916,26.442149932889823
2021,IND,36.16333732711835,27.429462630404725
2021,JAX,35.682574066558445,25.84968247515352
2021,KC,37.563969978015244,26.12091503267974
2021,LA,35.037276701546006,27.252213541666666
2021,LAC,35.64978055798368,26.689665331538134
2021,LV,35.06190635536339,26.584341809640524
2021,MIA,33.344765943691726,27.439717581744237
2021,MIN,34.33819102160095,27.379361957486957
2021,NE,32.470368303571426,29.251870828823954
2021,NO,34.155438701923075,27.466477532883783
2021,NYG,32.651409007659005,25.51510307247899
2021,NYJ,34.264426654075095,25.507942907276547
2021,PHI,36.25724015567766,25.54067952701914
2021,PIT,37.07537794237013,27.119994000204247
2021,SEA,36.71993144914216,27.01233845300941
2021,SF,35.473178668502655,25.177620579481793
2021,TB,38.7273611658205,25.93926483353758
2021,TEN,31.044165426587302,30.61085689484127
2021,WAS,36.499190913253415,25.86097310043896
2022,ARI,35.62921283296973,26.718511467086834
2022,ATL,33.684217685653806,26.70091800860616
2022,BAL,34.32971020439426,27.305346601417376
2022,BUF,34.59432090851046,26.698609269611108
2022,CAR,35.76855832522767,27.97157712844753
2022,CHI,33.5155684599561,27.09700325971006
2022,CIN,34.28889258527931,25.889171189309057
2022,CLE,32.47207622532186,28.587513927825345
2022,DAL,37.649059122938944,26.518650064192343
2022,DEN,33.738853411957734,25.78906827700486
2022,DET,34.528664981617645,27.822535522075963
2022,GB,35.75154973447712,25.164025662348273
2022,HOU,34.73215926995798,26.261916615604576
2022,IND,31.230320124903752,29.36597324424422
2022,JAX,34.8311024243067,23.7555154021836
2022,KC,35.77054267729819,26.695876427494074
2022,LA,35.44774074257814,25.756503851540618
2022,LAC,37.62671449554086,25.80330692479198
2022,LV,36.548401842354586,26.029184356034083
2022,MIA,34.94635287353578,28.721567449095023
2022,MIN,35.0802994314713,24.868526785714288
2022,NE,34.33350721097734,27.670698980349716
2022,NO,33.60742587299343,28.125941224574035
2022,NYG,36.15785636697861,27.055667410102153
2022,NYJ,34.82054203392094,27.00832161908881
2022,PHI,30.746461844193448,30.855642123159424
2022,PIT,35.166768525592055,26.966719953291374
2022,SEA,33.85063825828991,25.191900597555197
2022,SF,33.508830300007446,27.062513566659394
2022,TB,38.93658844512069,26.04188469965192
2022,TEN,32.744447460474575,29.568294182089055
2022,WAS,33.888849680497195,27.70956781678289
2023,ARI,34.899695987463616,26.970844018879404
2023,ATL,32.044802484203906,31.3326132379671
2023,BAL,33.01504659747422,31.087239463457294
2023,BUF,34.118081297022016,26.957293374262584
2023,CAR,32.204266784838936,28.66100163623142
2023,CHI,32.24112601361567,30.67126213502592
2023,CIN,32.26195141026253,26.913838556255836
2023,CLE,31.49484664959734,28.641900640464517
2023,DAL,31.318874986073975,28.19294176003735
2023,DEN,33.82280502636661,27.057902384299307
2023,DET,33.507441139334524,27.756058703666127
2023,GB,33.9192135376878,26.440762731717534
2023,HOU,35.18357059415768,24.76155336138745
2023,IND,32.04760193752746,27.193630477212736
2023,JAX,33.45932504995005,27.73168211793793
2023,KC,38.19612732549314,26.058241586191887
2023,LA,33.78101960845527,26.323614828131007
2023,LAC,37.50021372442436,25.41831503935709
2023,LV,34.5413508940508,26.053562629478872
2023,MIA,37.10347209559472,25.17249656172565
