player_id,position,draft_year_24,talent_prior_fppg_24,rookie_actual_fppg_24,talent_prior_source_24
00-0032062,TE,2015,3.1462646678718107,2.9000000000000004,position_prior
00-0031598,TE,2015,3.1462646678718107,2.7,position_prior
00-0032190,TE,2015,3.1462646678718107,0,position_prior
00-0031609,TE,2015,3.1462646678718107,0,position_prior
00-0032227,TE,2015,3.1462646678718107,0,position_prior
00-0032135,TE,2015,3.1462646678718107,3.12,position_prior
00-0032139,TE,2015,3.1462646678718107,0,position_prior
00-0032214,TE,2015,3.1462646678718107,2.033333333333333,position_prior
00-0032188,TE,2015,3.1462646678718107,0,position_prior
00-0032117,TE,2015,3.1462646678718107,1.4000000000000001,position_prior
00-0031951,TE,2015,3.1462646678718107,1.9500000000000002,position_prior
00-0031585,TE,2015,3.1462646678718107,1.2636363636363637,position_prior
00-0032120,TE,2015,3.1462646678718107,0,position_prior
00-0032141,TE,2015,3.1462646678718107,0.25,position_prior
00-0031533,TE,2015,3.1462646678718107,0,position_prior
00-0032134,TE,2015,3.1462646678718107,0.3,position_prior
00-0032256,TE,2015,3.1462646678718107,4.326666666666667,position_prior
00-0031610,TE,2015,3.1462646678718107,0.7,position_prior
00-0031558,TE,2015,3.1462646678718107,3.4857142857142853,position_prior
00-0032434,QB,2016,4.493085543766578,0,position_prior
00-0033119,QB,2016,4.493085543766578,9.433333333333334,position_prior
00-0032893,QB,2016,4.493085543766578,8,position_prior
00-0032446,QB,2016,4.493085543766578,0,position_prior
00-0032436,QB,2016,4.493085543766578,0,position_prior
00-0033106,QB,2016,4.493085543766578,8.165714285714285,position_prior
00-0032953,QB,2016,4.493085543766578,0,position_prior
00-0032784,QB,2016,4.493085543766578,5.553333333333334,position_prior
00-0033098,QB,2016,4.493085543766578,1.7399999999999998,position_prior
00-0033104,QB,2016,4.493085543766578,8.555555555555555,position_prior
00-0033108,QB,2016,4.493085543766578,9.459999999999999,position_prior
00-0033077,QB,2016,4.493085543766578,18.43,position_prior
00-0032431,QB,2016,4.493085543766578,0,position_prior
00-0032792,QB,2016,4.493085543766578,0,position_prior
00-0032950,QB,2016,4.493085543766578,13.3425,position_prior
00-0032972,RB,2016,4.352660769377784,8.2,chronological_college_combine_ridge
00-0032808,RB,2016,0,0,chronological_college_combine_ridge
00-0032426,RB,2016,3.603293497043052,3.3777777777777778,chronological_college_combine_ridge
00-0032411,RB,2016,4.5310386492492745,7.283333333333334,chronological_college_combine_ridge
00-0033118,RB,2016,6.634089053975724,2.6000000000000005,chronological_college_combine_ridge
00-0033045,RB,2016,16.1424877797405,20.62666666666667,chronological_college_combine_ridge
00-0032404,RB,2016,5.430727761989391,0.3,chronological_college_combine_ridge
00-0032764,RB,2016,8.535705949992844,7.085714285714286,chronological_college_combine_ridge
00-0032780,RB,2016,4.510658428496511,14.373333333333335,chronological_college_combine_ridge
00-0033049,RB,2016,0,0,chronological_college_combine_ridge
00-0032956,RB,2016,2.7997581688557087,1.8000000000000003,chronological_college_combine_ridge
00-0032804,RB,2016,1.858387608330164,1.06,chronological_college_combine_ridge
00-0032806,RB,2016,1.619407544152101,0,chronological_college_combine_ridge
00-0032417,RB,2016,4.140826553626504,4.95,chronological_college_combine_ridge
00-0032393,RB,2016,6.7279927973864595,8.75,chronological_college_combine_ridge
00-0032782,RB,2016,3.852961337356563,3.641666666666667,chronological_college_combine_ridge
