season,week,player_id,xfp_24,fpoe_24
2023,3,00-0035243,NA,NA
2023,3,00-0035644,NA,NA
2023,3,00-0032211,NA,NA
2023,3,00-0038543,NA,NA
2023,3,00-0036555,NA,NA
2023,3,00-0039165,NA,NA
2023,3,00-0038752,NA,NA
2023,3,00-0036244,NA,NA
2023,3,00-0034830,NA,NA
2023,3,00-0036955,NA,NA
2023,3,00-0038134,NA,NA
2023,3,00-0036268,NA,NA
2023,3,00-0037005,NA,NA
2023,3,00-0034365,NA,NA
2023,3,00-0033873,NA,NA
2023,3,00-0037216,NA,NA
2023,3,00-0030506,NA,NA
2023,3,00-0036913,NA,NA
2023,3,00-0039067,NA,NA
2023,3,00-0036945,NA,NA
2023,3,00-0036326,NA,NA
2023,3,00-0038090,NA,NA
2023,3,00-0031376,NA,NA
2023,3,00-0034827,NA,NA
2023,3,00-0036360,NA,NA
2023,3,00-0036290,NA,NA
2023,3,00-0034386,NA,NA
2023,3,00-0036637,NA,NA
2023,3,00-0034272,NA,NA
2023,3,00-0037197,NA,NA
2023,3,00-0036906,NA,NA
2023,3,00-0039021,NA,NA
2023,3,00-0038941,NA,NA
2023,3,00-0036309,NA,NA
2023,3,00-0027948,NA,NA
2023,3,00-0033949,NA,NA
2023,3,00-0037744,NA,NA
2023,3,00-0036936,NA,NA
2023,3,00-0030061,NA,NA
2023,3,00-0033077,NA,NA
2023,3,00-0036139,NA,NA
2023,3,00-0038559,NA,NA
2023,3,00-0033553,NA,NA
2023,3,00-0037569,NA,NA
2023,3,00-0038041,NA,NA
2023,3,00-0038738,NA,NA
2023,3,00-0034764,NA,NA
2023,3,00-0031236,NA,NA
2023,3,00-0036358,NA,NA
2023,3,00-0035662,NA,NA
2023,3,00-0037299,NA,NA
2023,3,00-0038547,NA,NA
2023,3,00-0035261,NA,NA
2023,3,00-0036212,NA,NA
2023,3,00-0034798,NA,NA
2023,3,00-0033040,NA,NA
2023,3,00-0029263,NA,NA
2023,3,00-0034348,NA,NA
2023,3,00-0031687,NA,NA
2023,3,00-0036407,NA,NA
2023,3,00-0036997,NA,NA
2023,3,00-0031484,NA,NA
2023,3,00-0034419,NA,NA
2023,3,00-0039040,NA,NA
2023,3,00-0038783,NA,NA
2023,3,00-0038976,NA,NA
2023,3,00-0037382,NA,NA
2023,3,00-0034054,NA,NA
2023,3,00-0033526,NA,NA
2023,3,00-0038720,NA,NA
2023,3,00-0036422,NA,NA
2023,3,00-0034401,NA,NA
2023,3,00-0032688,NA,NA
2023,3,00-0039163,NA,NA
2023,3,00-0038977,NA,NA
2023,3,00-0035250,NA,NA
2023,3,00-0036971,NA,NA
2023,3,00-0034837,NA,NA
2023,3,00-0036497,NA,NA
2023,3,00-0037258,NA,NA
2023,3,00-0033572,NA,NA
2023,3,00-0030431,NA,NA
2023,3,00-0037614,NA,NA
2023,3,00-0037277,NA,NA
2023,3,00-0034383,NA,NA
2023,3,00-0036887,NA,NA
2023,3,00-0038935,NA,NA
2023,3,00-0036556,NA,NA
2023,3,00-0036973,NA,NA
2023,3,00-0034775,NA,NA
2023,3,00-0036554,NA,NA
2023,3,00-0033881,NA,NA
2023,3,00-0038555,NA,NA
2023,3,00-0035628,NA,NA
2023,3,00-0033936,NA,NA
2023,3,00-0035289,NA,NA
2023,3,00-0037664,NA,NA
2023,3,00-0034796,NA,NA
2023,3,00-0034753,NA,NA
2023,3,00-0039064,NA,NA
2023,3,00-0036550,NA,NA
2023,3,00-0037838,NA,NA
2023,3,00-0038997,NA,NA
2023,3,00-0036876,NA,NA
2023,3,00-0036252,NA,NA
2023,3,00-0033118,NA,NA
2023,3,00-0037292,NA,NA
2023,3,00-0033466,NA,NA
2023,3,00-0036251,NA,NA
2023,3,00-0036984,NA,NA
2023,3,00-0032144,NA,NA
2023,3,00-0031549,NA,NA
2023,3,00-0036331,NA,NA
2023,3,00-0036355,NA,NA
2023,3,00-0030279,NA,NA
2023,3,00-0029604,NA,NA
2023,3,00-0035249,NA,NA
2023,3,00-0035229,NA,NA
2023,3,00-0033536,NA,NA
2023,3,00-0036988,NA,NA
2023,3,00-0033895,NA,NA
2023,3,00-0038544,NA,NA
2023,3,00-0035329,NA,NA
2023,3,00-0034972,NA,NA
2023,3,00-0037276,NA,NA
2023,3,00-0038573,NA,NA
2023,3,00-0036322,NA,NA
2023,3,00-0032918,NA,NA
2023,3,00-0038994,NA,NA
2023,3,00-0036345,NA,NA
2023,3,00-0036370,NA,NA
2023,3,00-0034646,NA,NA
2023,3,00-0036442,NA,NA
2023,3,00-0033009,NA,NA
2023,3,00-0038576,NA,NA
2023,3,00-0036900,NA,NA
2023,3,00-0034613,NA,NA
2023,3,00-0026498,NA,NA
2023,3,00-0033110,NA,NA
2023,3,00-0039075,NA,NA
2023,3,00-0037840,NA,NA
2023,3,00-0035771,NA,NA
2023,3,00-0033897,NA,NA
2023,3,00-0036849,NA,NA
2023,3,00-0036410,NA,NA
2023,3,00-0036415,NA,NA
2023,3,00-0036862,NA,NA
2023,3,00-0035291,NA,NA
2023,3,00-0035631,NA,NA
2023,3,00-0037013,NA,NA
2023,3,00-0037740,NA,NA
2023,3,00-0036972,NA,NA
2023,3,00-0034829,NA,NA
2023,3,00-0033090,NA,NA
2023,3,00-0031547,NA,NA
2023,3,00-0034521,NA,NA
2023,3,00-0033307,NA,NA
2023,3,00-0036875,NA,NA
2023,3,00-0036924,NA,NA
2023,3,00-0034270,NA,NA
2023,3,00-0038621,NA,NA
2023,3,00-0033439,NA,NA
2023,3,00-0038120,NA,NA
2023,3,00-0033857,NA,NA
2023,3,00-0032134,NA,NA
2023,3,00-0033893,NA,NA
2023,3,00-0033045,NA,NA
2023,3,00-0028002,NA,NA
2023,3,00-0031280,NA,NA
2023,3,00-0032765,NA,NA
2023,3,00-0036264,NA,NA
2023,3,00-0039144,NA,NA
2023,3,00-0037816,NA,NA
2023,3,00-0038393,NA,NA
2023,3,00-0037239,NA,NA
2023,3,00-0035860,NA,NA
2023,3,00-0034317,NA,NA
2023,3,00-0027696,NA,NA
2023,3,00-0036040,NA,NA
2023,3,00-0038465,NA,NA
2023,3,00-0037098,NA,NA
2023,3,00-0037545,NA,NA
2023,3,00-0033357,NA,NA
2023,3,00-0038551,NA,NA
2023,3,00-0038797,NA,NA
2023,3,00-0031503,NA,NA
2023,3,00-0035973,NA,NA
2023,3,00-0039146,NA,NA
2023,3,00-0037834,NA,NA
2023,3,00-0035719,NA,NA
2023,3,00-0033288,NA,NA
2023,3,00-0036259,NA,NA
2023,3,00-0033280,NA,NA
2023,3,00-0035710,NA,NA
2023,3,00-0035535,NA,NA
2023,3,00-0038117,NA,NA
2023,3,00-0038115,NA,NA
2023,3,00-0035639,NA,NA
2023,3,00-0036569,NA,NA
2023,3,00-0036567,NA,NA
2023,3,00-0038647,NA,NA
2023,3,00-0033308,NA,NA
2023,3,00-0031610,NA,NA
2023,3,00-0036165,NA,NA
2023,3,00-0028118,NA,NA
