position,feature,delta_MAE_if_permuted,delta_RMSE_if_permuted,delta_correlation_if_permuted,delta_rank_correlation_if_permuted,target_year
RB,season_carries_prior,-0.011248016687209391,-6.284842292073971e-5,4.471775961535733e-4,2.4092786322671422e-4,2024
RB,roll3_target_share,-0.01262511651875009,0.006230654208663644,0.001526336199258053,5.917710988548505e-4,2024
RB,prior_rush_td_rate,-0.019842490477642045,-0.0012775556998067354,3.2556636729933847e-4,-1.9476233253157282e-5,2024
RB,projected_opportunities_232,-0.024072395299323073,0.011128890760670215,0.0022236636179250313,0.0037026934177205964,2024
WR,roll3_ngs_air_yard_share,0.033444813330302914,0.014762846469201266,0.003215453370377023,0.0036204729447400683,2024
WR,season_to_date_catch_rate,0.01002673497779849,0.00252051482766813,6.04088594761576e-4,9.591863947508994e-4,2024
WR,tw_early_declare_heuristic_24,0.009752679606936413,0.007669744194727694,0.001695679258968889,0.001555486539803456,2024
WR,opp_pos_residual_roll4,0.008189177418386281,0.011590128855566503,0.002295327098014388,0.002452854162731185,2024
WR,roll3_ngs_separation,0.007413777621598634,0.0032065139700326504,7.446184368678314e-4,7.383234318375879e-4,2024
WR,direct_gap_vs_base_232,0.006915425310140814,0.014708726415179877,0.0024723524609953826,0.00705307929498733,2024
WR,xfp_gap_vs_base_232,0.006720823377287299,-0.0015500916215189047,-2.756490405242025e-4,0.0012256315879577429,2024
WR,roll5_offense_pct,0.00609043863015953,0.002835682722872749,6.658968972036069e-4,3.809373844413007e-4,2024
WR,matchup_role_interaction,0.005741105593480474,0.005149815720191538,0.001063389618112735,0.0015638034771547533,2024
WR,talent_prior_fppg_24,0.005510208316412839,0.0033103955004853227,7.679800892095671e-4,1.0004704996491309e-4,2024
WR,implied_team_total,0.004267522252364486,0.0010913036995097158,3.171028794985616e-4,-3.062078939041202e-4,2024
WR,roll5_targets,0.0020537434799578294,5.45300528951446e-4,1.488106620045985e-4,1.4140227316180218e-4,2024
WR,projected_opportunities_232,0.0020159381926540356,3.4028369044492024e-4,1.0889794379080146e-4,1.7597278483512854e-4,2024
WR,tw_age_at_draft_24,0.0013888565220847582,-0.0016684183040718281,-2.717205902803184e-4,-1.820733390132112e-4,2024
WR,tw_combine_height_in_24,0.0013793475330129052,4.387683463405641e-4,1.2523665652449298e-4,-8.233742415501381e-5,2024
WR,opp_pos_residual_roll8,-8.95174037692866e-4,-5.585584396904745e-4,-9.639011707470353e-5,4.995555973748381e-4,2024
WR,role_fppg_trend,-0.0010331912993953492,-0.001951907720915358,-4.067720849071736e-4,-4.6264063642709186e-4,2024
