position,feature,n,coverage,outcome_pearson,outcome_spearman,partial_correlation_after_base,residual_correlation,year_sign_stability,median_year_abs_residual_cor,signal_score,target_year
WR,season_week,4863,1,-0.024857488225490783,-0.027067513428951428,-0.022134344112493307,-0.021803385615908576,1,0.022025605519414248,0.1788036880460591,2024
WR,qb_pass_matchup,4399,0.9045856467201316,0.039609416646927964,0.027951642612125877,0.020286365193667704,0.019018679797376196,1,0.019107531585054745,0.17785622971931106,2024
WR,tw_combine_broad_24,4863,1,0.09964044087887214,0.09498700993986292,0.013834491241241993,0.009355274625457396,1,0.00840421607827236,0.17759113187391942,2024
WR,tw_combine_vertical_24,4863,1,0.11113191077593992,0.10694502541874525,0.012564227374199098,0.007441609865634047,1,0.006333033928462489,0.17746862522204257,2024
WR,qb_pressure_matchup,4399,0.9045856467201316,0.07839934491991699,0.08713440912723627,0.014911234805606048,0.011208723629525979,1,0.012589577537781583,0.17743643039569687,2024
WR,def_rush_epa_allowed_roll4,4863,1,-0.009208458324405746,-0.006433186129025119,-0.020734947265883846,-0.021109896939953153,1,0.01789285731781306,0.1760269657896814,2024
WR,opp_blitz_rate_roll4_24,4863,1,0.02283482944928747,0.014419291376135634,0.01862384209577115,0.018251502122304437,1,0.01708608395525021,0.17541834596996522,2024
WR,prior_rush_td_rate,4863,1,0.013774403769058545,-0.021145612385475566,-0.017246419668272252,-0.01858190144560704,1,0.019132013311068043,0.17518410098684423,2024
WR,rb_rush_matchup,4399,0.9045856467201316,-0.04622320138818484,-0.04814475253018002,-0.014787812377420816,-0.012906286484489375,1,0.014162576573938152,0.1747893988884102,2024
WR,team_skill_out_count,4863,1,-0.03122025241026197,-0.025464737198472625,0.01373819984474791,0.015765165426841265,1,0.01729478518795185,0.17426505659646768,2024
WR,tw_draft_round_24,4863,1,-0.06293922613519572,-0.00429490608686435,0.011036447219980351,0.0144476638874348,1,0.014123874089344148,0.17385657444163902,2024
WR,tw_draft_overall_24,4863,1,-0.10242174858398158,-0.014996766453267233,0.005825991300359692,0.010936259954852085,1,0.010663102169739019,0.1736864330572605,2024
WR,season_to_date_fppg,4863,1,0.5386672611688805,0.5901340997118427,0.10368754170639827,0.024465779325987373,0.5,0.04194787430207891,0.17320707358113674,2024
WR,games_played_prior,4863,1,0.10097494667108896,0.12196793319561121,0.0015698213794953337,-0.0033111696791083447,1,0.003924729157985763,0.17306573901260286,2024
WR,def_redzone_rush_td_rate_roll4,4863,1,-0.0034689213052894086,0.0049879578328266136,-0.0163581861322328,-0.016837843621664152,1,0.01602101806374827,0.1726804506681954,2024
WR,tw_combine_shuttle_24,4863,1,0.06171020826444724,0.06705576876207378,0.009153139724108725,0.006468132356568558,1,0.006842351612385661,0.17179938473665107,2024
WR,roll3_team_pass_attempts,4863,1,0.028035079856231694,0.04202465781800753,-0.008873761027609329,-0.010574390212493375,1,0.011197994190832073,0.1708763618384987,2024
WR,roll3_team_carries,4863,1,-0.025622678968842315,-0.03526615334297048,-0.010981394908349297,-0.010165778491783593,1,0.009991620503448855,0.17063270276858022,2024
WR,roll3_target_share,4863,1,0.4968219795639556,0.5410590766805695,0.09227227899581307,0.03355884392296973,0.5,0.044382630793604466,0.17028456074714673,2024
