feature,importance,importance_pct,position,family
roll3_rush_td_rate,2329.1096466754684,0.20791984175815564,RB,opportunity_carries
opportunity_per_snap,2328.925946621975,0.2079034428367447,RB,opportunity_carries
roll3_team_pass_attempts,2054.2659075423944,0.1833845147801677,RB,opportunity_carries
expected_team_plays,1972.519292142324,0.176086986575556,RB,opportunity_carries
season_week,1902.238282651085,0.16981299411114797,RB,opportunity_carries
roll3_rush_ypc,1720.1173908200642,0.1535550446134032,RB,opportunity_carries
roll3_target_share,1656.3009627446716,0.14785814595260124,RB,opportunity_carries
roll3_targets,1367.4175273555695,0.12206949394199725,RB,opportunity_carries
roll3_catch_rate,1341.5941253756423,0.11976423636814812,RB,opportunity_carries
rest_days,1264.6535499268393,0.11289574381137601,RB,opportunity_carries
season_to_date_rush_ypc,1129.3751256345458,0.10081942588778904,RB,opportunity_carries
games_played_prior,1118.3391924554758,0.09983424707342059,RB,opportunity_carries
season_to_date_ypt,1116.749486563383,0.09969233387581836,RB,opportunity_carries
roll3_ngs_rush_yoe_pa,1075.0174816742638,0.09596691379300624,RB,opportunity_carries
season_to_date_rec_td_rate,1072.3207526339,0.09572617653268128,RB,opportunity_carries
season_to_date_catch_rate,1071.9553353229628,0.09569355569425309,RB,opportunity_carries
underdog_points,1070.3584678953534,0.09555100318568775,RB,opportunity_carries
season_to_date_rush_td_rate,956.020297214075,0.08534402371226459,RB,opportunity_carries
prior_rush_td_rate,792.0395015875988,0.07070544234418696,RB,opportunity_carries
expected_team_pass_rate,791.9077546583181,0.0706936812831621,RB,opportunity_carries
favorite_rush_interaction,738.5478725971884,0.06593023948890386,RB,opportunity_carries
season_targets_prior,666.1289020191288,0.059465391033026616,RB,opportunity_carries
prior_catch_rate,614.1033249822427,0.05482106277637872,RB,opportunity_carries
favorite_points,613.0603146536373,0.05472795314421293,RB,opportunity_carries
carry_trend,594.2701987553311,0.05305055769408039,RB,opportunity_carries
prior_yards_per_target,569.0279123950368,0.050797176367384206,RB,opportunity_carries
practice_risk,523.0372234355415,0.04669158314876696,RB,opportunity_carries
roll3_ypt,477.4031432153382,0.0426178244265415,RB,opportunity_carries
role_fppg_trend,466.3272324027684,0.04162907680499261,RB,opportunity_carries
prior_yards_per_carry,418.6126528690835,0.03736959170932032,RB,opportunity_carries
underdog_target_interaction,416.1535083999195,0.037150063646474996,RB,opportunity_carries
team_spread_line,390.7271534559476,0.03488025049964294,RB,opportunity_carries
prior_pass_td_rate,381.1786278691164,0.03402785270382794,RB,opportunity_carries
implied_team_total,378.9307593633381,0.03382718526651699,RB,opportunity_carries
prior_rec_td_rate,377.99481169528786,0.0337436331283372,RB,opportunity_carries
roll3_rec_td_rate,353.3901221891493,0.03154717013402214,RB,opportunity_carries
snap_trend,299.82854845913045,0.026765723305119355,RB,opportunity_carries
season_to_date_pass_ypa,199.65292719813996,0.017823035978079892,RB,opportunity_carries
season_pass_attempts_prior,198.82773869284165,0.01774937132099208,RB,opportunity_carries
prior_yards_per_attempt,198.1295712621433,0.01768704584742809,RB,opportunity_carries
target_trend,127.75913642513217,0.011405070373818,RB,opportunity_carries
injury_risk,105.32773787654318,0.009402617271923909,RB,opportunity_carries
roll5_pass_attempts,26.82721690042367,0.0023948682281702037,RB,opportunity_carries
roll3_pass_attempt_share,25.68021177275682,0.0022924749703084734,RB,opportunity_carries
team_skill_questionable_count,22.931728408286446,0.002047117596502005,RB,opportunity_carries
season_to_date_pass_td_rate,19.109773673571862,0.001705931330418322,RB,opportunity_carries
roll5_targets,9610.974946435696,14.832166244217847,RB,opportunity_targets
