Feature,Gain,Cover,Frequency,position
team_skill_out_count,2.2864669363486417e-4,0.003292422562262245,0.0030284675953967293,RB
def_sack_rate_roll4,1.941026628956929e-4,6.951941474057922e-4,0.0030284675953967293,RB
roll3_catch_rate,1.6860618266885733e-4,5.938629318950779e-4,0.0024227740763173833,RB
preseason_deep_target_rate,1.4940658833196158e-4,1.0015080979380784e-4,0.0012113870381586917,RB
def_rush_epa_allowed_roll8,1.1438033100231053e-4,0.0024503171049107667,0.0018170805572380376,RB
prior_rec_td_rate,1.050143212093983e-4,2.9918953652306594e-4,0.0018170805572380376,RB
roll3_ngs_box_rate,9.36649097345805e-5,0.0022020105156349084,0.0012113870381586917,RB
underdog_points,7.327208142737835e-5,5.888096195969885e-5,6.056935190793458e-4,RB
ngs_available,6.314416155701926e-5,3.5525154618354425e-4,6.056935190793458e-4,RB
def_explosive_pass_rate_roll4,5.5242051594959666e-5,3.1893012603875846e-4,6.056935190793458e-4,RB
season_to_date_fppg,0.368617226036122,0.0641130636344858,0.05970982142857143,WR
preseason_prior_fppg,0.18712829498087533,0.15426374062051298,0.11439732142857142,WR
roll5_fppg,0.0755362596023955,0.03290412017302947,0.03404017857142857,WR
roll5_targets,0.07447790809374717,0.033058816044349786,0.026785714285714284,WR
roll3_target_share,0.0651104665101328,0.019752274218566,0.026785714285714284,WR
roll5_offense_pct,0.05007229172180752,0.06034755043441017,0.04743303571428571,WR
roll3_offense_snaps,0.039103053152596066,0.02858340261107408,0.026785714285714284,WR
roll3_offense_pct,0.036892492922349515,0.06581639174357122,0.05022321428571429,WR
roll3_fppg,0.01956673376069132,0.017424725890865817,0.022879464285714284,WR
prior_game_fppg,0.012660013525118013,0.03467395385200699,0.026785714285714284,WR
implied_team_total,0.012335115607503543,0.01354553890516981,0.045200892857142856,WR
season_week,0.0042109192454251486,0.039582881234591874,0.030691964285714284,WR
matchup_role_interaction,0.0028871869430299227,0.0358272699683402,0.021205357142857144,WR
roll3_ngs_yac_oe,0.002748458067003648,0.033355725959549755,0.021205357142857144,WR
season_targets_prior,0.002198148974025919,0.025483401256437287,0.018973214285714284,WR
season_to_date_rec_td_rate,0.002087524916303618,0.003744451227015892,0.012834821428571428,WR
expected_team_plays,0.0020618724091576723,0.014601454411003436,0.018973214285714284,WR
preseason_middle_target_rate,0.0017881928580362537,0.012491559060046311,0.015625,WR
prior_catch_rate,0.0017433053326625979,0.007675180547726599,0.014508928571428572,WR
