position,feature,standardized_coefficient,raw_unit_slope,lambda,target_year
RB,roll3_target_share,-0.21509525062342963,-3.802635500933544,500,2025
RB,model22_gap_vs_base_232,0.14652658041058822,0.24455904516626314,500,2025
RB,roll3_rush_ypc,0.009061169449755156,0.0037644443596947094,500,2025
RB,prior_game_fppg,0.29249425873515683,0.040832648415427206,500,2025
RB,season_to_date_catch_rate,0.0039843614060628176,0.011242775711533624,500,2025
RB,roll3_catch_rate,0.02833254252321353,0.07366725373767975,500,2025
RB,role_fppg_trend,-0.10848175860436701,-0.06501580843454756,500,2025
RB,response_avg_box_24,0.17664287200840656,0.2646958337852131,500,2025
RB,opportunity_per_snap,-0.19569052992581273,-0.985933529516514,500,2025
RB,underdog_target_interaction,-0.33226062044157084,-0.034267201716058286,500,2025
WR,projected_opportunities_232,-0.09054288446801435,-0.036771048556692124,500,2025
WR,roll5_targets,0.11391350492060259,0.035991141877791434,500,2025
WR,roll3_offense_pct,0.28270444640009607,0.8735651330492855,500,2025
WR,direct_gap_vs_base_232,0.6363109517264665,0.45942935486657926,500,2025
WR,roll3_ngs_air_yard_share,-0.0393592567293649,-0.002211204056391656,500,2025
WR,roll3_ngs_cushion,0.07006609482304664,0.021506482547789623,500,2025
WR,roll3_ngs_separation,0.01266082358549259,0.007987812870331078,500,2025
WR,talent_prior_fppg_24,0.14912070786724493,0.05553712661378462,500,2025
WR,roll3_rec_td_rate,-0.38930362810710456,-4.59470003311516,500,2025
WR,tw_draft_capital_log_24,-0.067193479215184,-0.05849119449301923,500,2025
WR,tw_early_declare_heuristic_24,0.17800405084684326,0.5809079817543905,500,2025
WR,season_to_date_catch_rate,-0.023888729675830472,-0.08674442490835003,500,2025
WR,roll3_catch_rate,0.1122546383519859,0.374500395518254,500,2025
WR,season_to_date_rec_td_rate,0.06481869525950738,0.9436856536009147,500,2025
WR,projection_spread_232,-0.2719725818108769,-0.2262794410757628,500,2025
WR,prior_yards_per_target,0.022951582289497022,0.0063961209568627626,500,2025
WR,matchup_role_interaction,0.20240461335444782,0.01945845800540219,500,2025
WR,weekly_age,-0.022985215297167814,-0.004403622274868542,500,2025
WR,legacy_gap_vs_base_232,0.2305061135702899,0.37227440992018096,500,2025
WR,is_home,0.2019196054110755,0.40381170105186215,500,2025
WR,prior_catch_rate,-0.14804112344648981,-0.541388399054302,500,2025
