position,feature,n,coverage,outcome_pearson,outcome_spearman,residual_correlation,year_sign_stability,median_year_abs_residual_cor,signal_score
RB,roll3_rush_td_rate,6166,1,0.11559634951357418,0.3527318929578615,-0.03294768990641537,0.75,0.018764415973458504,0.1923380721226195
RB,role_fppg_trend,6166,1,0.04325495164934899,0.03924093810233841,-0.04823074735911556,1,0.056759604807201616,0.1898746006614856
RB,role_5_vs_prior_232,6166,1,0.33756321960467767,0.3526836010764873,0.01889079176055457,0.5,0.032578803214562274,0.18984214827172624
RB,rb_rush_matchup,6166,1,-0.22246731129409777,-0.24332399682345976,-0.015081654731577916,0.75,0.011946442479748819,0.1897243845289377
RB,prior_rush_td_rate,6166,1,0.17729690915715357,0.2683219946995539,-0.018891078455624544,0.75,0.042332011076219124,0.18934626942488705
RB,projection_spread_232,6166,1,0.3276100105646579,0.37338847673211323,0.00889032070302013,0.5,0.03951541979817884,0.18672860540566896
RB,season_to_date_rush_td_rate,6166,1,0.1056953040952924,0.3655961573512214,-0.0166904427804376,0.75,0.016900779054885687,0.18459747077598468
RB,favorite_points,6166,1,0.0763531481480157,0.055370505117868896,0.026389724625884296,1,0.006019861827552307,0.18286538954519024
RB,wr_redzone_matchup,6166,1,0.1369401992701064,0.2693287373973657,0.013382929125204586,0.75,0.025883214485838364,0.17807932391122894
RB,te_redzone_matchup,6166,1,0.1369401992701064,0.2693287373973657,0.013382929125204586,0.75,0.025883214485838364,0.17807932391122894
RB,role_vs_prior_232,6166,1,0.32542871184712296,0.334092504760749,-4.444978364564921e-4,0.5,0.038013210787001164,0.17766961380887752
RB,snap_trend,6166,1,0.06241790721069027,0.05062263532823243,0.019510308251162678,1,0.010345544498114246,0.17712413270014676
RB,games_played_prior,6166,1,0.1660179768886803,0.1950384343337602,0.01841297844114003,0.75,0.0167403055552782,0.1757477188140545
RB,def_explosive_pass_rate_roll4,6166,1,0.0273444471971582,0.015049713845513436,0.028455325904629018,1,0.026482146029319267,0.17218107741696506
RB,def_rush_epa_allowed_roll8,6166,1,0.030821054031164967,0.02295689371481523,0.02407503886341415,1,0.021263545176679825,0.17126273897759187
RB,def_qb_hit_rate_roll4,6166,1,-0.02816259748657833,-0.02824034402821883,-0.019945648345132034,1,0.025788903818909248,0.1700125409681707
RB,def_rush_epa_allowed_roll4,6166,1,0.029558668459998588,0.02271103894891859,0.021026717200411233,1,0.024781578529715846,0.16998606558982662
RB,season_to_date_rec_td_rate,6166,1,0.09956730331321983,0.25957212932706364,-0.008060886968177772,0.75,0.03408089508553617,0.16860625875986082
RB,team_skill_out_count,6166,1,3.4577006534023944e-5,0.006672500639058286,0.0298470160784096,1,0.03840340951233504,0.16807842212438093
RB,roll3_team_carries,6166,1,0.017904785149080876,0.010413485281177793,-0.02372537964651781,1,0.02425185822901096,0.16757408622441
RB,def_rush_success_allowed_roll4,6166,1,0.020326380225592997,0.012164738561540924,0.02074183079999223,1,0.016491395649661067,0.16610148049295426
RB,injury_risk,6166,1,0.02484772462859273,0.03912005041215029,-0.012961447727825062,1,0.007183827762286811,0.1657180307363547
RB,expected_team_pass_rate,6166,1,-0.009848871080852941,-0.0020789973019460827,0.02447907759963821,1,0.017345407058835777,0.16477240209650784
RB,prior_catch_rate,6166,1,0.15964243735921765,0.15979510864863256,-0.0034709644153678113,0.75,0.024903114286252016,0.16446329717803582
RB,underdog_target_interaction,6166,1,0.12854761562032346,0.15199558606933838,-0.01147963672631784,0.75,0.033996306546548206,0.16244350832147667
RB,prior_yards_per_target,6166,1,0.13369994220176987,0.16978669440064717,-0.0029763047712285853,0.75,0.024320368501220588,0.16071176692157113
