player_id,player_display_name,position,current_team,dynasty_value,year1_fppg,year3_fppg,elite_probability,starter_probability,breakout_probability,confidence,overall_rank,age,is_rookie,projected_fppg,model_version,gsis_id,normalized_name,dynasty_replacement_fppg,dynasty_year1_surplus,dynasty_career_surplus_points,dynasty_career_projected_points,dynasty_elite_multiplier,dynasty_format_multiplier,dynasty_age_survival_year4,dynasty_value_method,model_dynasty_value,model_dynasty_rank,sleeper_id,market_rank_proxy,market_value_proxy,model_market_gap,model_market_gap_pct,value_signal
00-0037240,Jameson Williams,WR,DET,715.1732969459299,10.322853351193856,10.322853351193856,0.0930874243313735,0.6645515069780689,0.1294632959069212,High,40,25.43463381245722,0,10.322853351193856,2.2,00-0037240,jamesonwilliams,8.41620867380963,1.906644677384227,98.03863306990691,761.0557492581689,1.3544174276585206,1,0.9412674100972439,career_surplus_v2,4090.1969721620326,40,NA,NA,NA,NA,NA,MODEL
00-0040124,Tetairoa McMillan,WR,CAR,701.2244811723533,9.892045540367336,9.892045540367336,0.07728759968704439,0.460636393287192,0.08462309149511879,High,45,23.408624229979463,0,9.892045540367336,2.2,00-0040124,tetairoamcmillan,8.41620867380963,1.4758368665577066,89.18910755867911,842.939898271233,1.3419474148780661,1,1,career_surplus_v2,4090.119126425578,41,NA,NA,NA,NA,NA,MODEL
00-0036355,Justin Herbert,QB,LAC,1113.647922162756,16.334585285451084,16.334585285451084,0.30371694594695015,0.5095081871395232,0.24309808343816727,Low,7,28.479123887748116,0,16.334585285451084,2.2,00-0036355,justinherbert,16.104734588130846,0.22985069732023788,10.58922162554336,1396.8852842346084,1.3419609970063409,1.03,1,career_surplus_v2,4038.8930702226526,42,NA,NA,NA,NA,NA,MODEL
00-0037840,Kyren Williams,RB,LA,689.1202336772261,15.201480277974252,8.947884686294694,0.365503504815406,0.9238051063616032,0.1389502971712123,Medium,47,26.015058179329227,0,15.201480277974252,2.2,00-0037840,kyrenwilliams,10.235634182500744,4.965846095473507,119.68666981759276,586.1520321559848,1.3370196137040047,1,0.512,career_surplus_v2,3971.4004931725094,43,NA,NA,NA,NA,NA,MODEL
00-0039067,Rashee Rice,WR,KC,457.99596379388,10.469411230516284,10.238764417257956,0.4405941008188253,0.7190561266061534,0.0859057875935818,Medium,115,26.360027378507873,0,10.469411230516284,2.2,00-0039067,rasheerice,8.41620867380963,2.0532025567066547,97.20164246813204,706.2712594094685,1.3352255744174066,1,0.8274552726572875,career_surplus_v2,3848.643714741204,44,NA,NA,NA,NA,NA,MODEL
00-0036554,Nico Collins,WR,HOU,634.950124152013,11.194847757118843,9.94679986153173,0.3611871893177159,0.7514967273498213,0.07493934606898876,High,55,27.45516769336071,0,11.194847757118843,2.2,00-0036554,nicocollins,8.41620867380963,2.778639083309214,98.37487081564164,635.6712337070254,1.3515817901234566,1,0.7104109108874493,career_surplus_v2,3758.3281794542872,45,NA,NA,NA,NA,NA,MODEL
00-0040126,Colston Loveland,TE,CHI,559.0423202648624,7.938666850875042,8.34056186020059,0.23068115336038836,0.5426663027510079,0.12307708277907374,High,78,22.39561943874059,0,7.938666850875042,2.2,00-0040126,colstonloveland,6.865775431248695,1.0728914196263473,87.43590815660293,745.6422330124078,1.307227463499899,1,1,career_surplus_v2,3680.782420420925,46,NA,NA,NA,NA,NA,MODEL
00-0034844,Saquon Barkley,RB,PHI,483.5977878313989,15.817304962637792,4.413159666943689,0.4264907684359574,0.8187433173094855,0.1395005087377097,Medium,104,29.557837097878167,0,15.817304962637792,2.2,00-0034844,saquonbarkley,10.235634182500744,5.581670780137047,116.67914080477533,498.4211767904286,1.319258277731862,1,0.5120000000000005,career_surplus_v2,3581.972864048868,47,NA,NA,NA,NA,NA,MODEL
00-0041562,Fernando Mendoza,QB,LV,957.0398175178746,15.026296217667491,15.32832477164261,0.11774289891275308,0.24926864192097695,0.15138344724286296,Rookie-Low,20,22.91854893908282,1,15.026296217667491,2.2,00-0041562,fernandomendoza,16.104734588130846,0,0,1433.5379964824729,1.2686224489795919,1.03,1,career_surplus_v2,3580.9318647199884,48,NA,NA,NA,NA,NA,MODEL
00-0040715,Cam Skattebo,RB,NYG,502.99108966340555,13.842671924930295,11.049614537110212,0.4055619524127528,0.7408941674375519,0.0867865696343116,Medium,98,24.569472963723477,0,13.842671924930295,2.2,00-0040715,camskattebo,10.235634182500744,3.6070377424295508,105.27370205563643,636.5591790045573,1.2691781004940845,1,0.5636277167409248,career_surplus_v2,3576.995051324465,49,NA,NA,NA,NA,NA,MODEL
