position,feature,n,coverage,outcome_pearson,outcome_spearman,partial_correlation_after_base,residual_correlation,year_sign_stability,median_year_abs_residual_cor,signal_score,standardized_coefficient,raw_unit_slope,lambda,permutation_years,oof_delta_MAE_if_permuted,oof_delta_RMSE_if_permuted,oof_delta_correlation_if_permuted,oof_delta_rank_correlation_if_permuted,unique_predictive_rank_24
QB,def_rush_epa_allowed_roll4,2624,1,-0.013277937873268955,-0.012514606462883757,-0.020929993583856495,-0.020980727497959633,0.75,0.07953144583693361,0.14266690925219633,NA,NA,NA,NA,NA,NA,NA,NA,23
QB,qb_pass_matchup,2301,0.8769054878048781,0.061556035894746716,0.06805640172117772,0.02312236180258361,0.01997440945136194,0.75,0.027110349666560583,0.14260282475532837,NA,NA,NA,NA,NA,NA,NA,NA,23
QB,weekly_age,2462,0.9382621951219512,-0.01096858598927316,-0.0024040032883186585,-0.027489591680648094,-0.02819774798529817,0.75,0.03350142215300038,0.14199518182975696,NA,NA,NA,NA,NA,NA,NA,NA,23
QB,underdog_points,2624,1,-0.14199256448424113,-0.13887575989208198,-0.009657560500512172,-0.0077120301010617145,0.75,0.02005771766704478,0.14144407198400083,NA,NA,NA,NA,NA,NA,NA,NA,23
QB,tw_combine_vertical_24,2624,1,-0.1062260792869898,-0.1316832700497313,-0.013497688013187181,-0.012121689696055846,0.75,0.005105513813218004,0.14021204797577508,NA,NA,NA,NA,NA,NA,NA,NA,23
QB,season_to_date_interception_rate,2624,1,0.013179734832107864,0.15924318072635563,0.016391506355996847,0.01639744978603521,0.75,0.02247846368943062,0.13990141799637784,NA,NA,NA,NA,NA,NA,NA,NA,23
QB,tw_combine_shuttle_24,2624,1,-0.1072634699020953,-0.1273002647579797,-0.011014688822545889,-0.009627078520010142,0.75,0.01708018450927471,0.13970244175473673,NA,NA,NA,NA,NA,NA,NA,NA,23
QB,weekly_experience,2462,0.9382621951219512,0.03041579872465826,0.05306207869880768,-0.01781027438608333,-0.020376978187754895,0.75,0.03224604619836399,0.13964862689506358,NA,NA,NA,NA,NA,NA,NA,NA,23
QB,def_pass_epa_allowed_roll8,2624,1,0.034743391596972546,0.027715876915348266,0.020587090251461885,0.020359820163866678,0.75,0.03172174552120879,0.13944569744869878,NA,NA,NA,NA,NA,NA,NA,NA,23
QB,roll5_fppg,2624,1,0.49447822099924926,0.48172246441169964,0.02317312747622798,0.004892722491244102,0.5,0.017813706733984257,0.13787199400091404,NA,NA,NA,NA,NA,NA,NA,NA,23
QB,season_to_date_ypt,2624,1,0.026026637341980085,0.05177384195304732,-0.014808875418156743,-0.015245172759946453,0.75,0.03689207619731373,0.13698268468954408,NA,NA,NA,NA,NA,NA,NA,NA,23
QB,tw_combine_weight_24,2624,1,-0.07212335482582703,-0.17430038288474686,0.005415346200061665,0.006306263348242465,0.75,0.016637888533772394,0.13680321222859212,NA,NA,NA,NA,NA,NA,NA,NA,23
