generated_at,week,player_id,player_display_name,position,team,opponent,projected_weekly_fppg,weekly_floor,weekly_ceiling,projection_confidence,expected_abs_error,calibrated_matchup_delta_23,model_disagreement_23,historical_residual_correction_23,version_weight_21,version_weight_22,version_weight_23,projected_weekly_fppg_232,projected_weekly_fppg_23,controller_base_fppg_232,controller_base_method_232,signal_correction_232,pid_correction_232,feedback_total_correction_232,pid_p_232,pid_i_232,pid_d_232,model232_promoted,model_version,projected_weekly_fppg_24,locked_final_fppg_24,locked_method_24,signal_correction_24,response_adjustment_raw_24,talent_prior_fppg_24,talent_weight_24,talent_gap_weighted_24,archetype_24,model24_promoted,risk_score_24,direct_fppg_25,incumbent_pre_availability_25,candidate_pre_availability_25,blend_alpha_25,direct_gap_25,model25_promoted,feedback_base_projection_25,feedback_promoted_25,feedback_player_gain_25,feedback_position_gain_25,player_error_n,player_last_error,player_error_ewma,player_error_roll3,player_abs_error_roll3,player_error_trend,position_error_n,position_error_bias,position_abs_error,feedback_player_bias_25,feedback_position_bias_25,feedback_correction_25,feedback_horizon_decay_25,feedback_post_projection_25
2026-09-15 19:31:18 -0400,1,00-0040589,Kurtis Rourke,QB,SF,LA,6.2116019319433295,0,12.194993297419416,High,5.980945793679473,-0.26798660402498936,0.8576898855944953,1.401532912995722,0.5,0.25,0.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2026-09-15 19:31:18 -0400,1,00-0041092,Taylen Green,QB,CLE,JAX,6.094889359775622,0,12.333504930111712,High,5.980945793679473,-2.304409691447201,0.8413335531173122,-0.10474734775011524,0.5,0.25,0.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2026-09-15 19:31:18 -0400,1,00-0028118,Tyrod Taylor,QB,GB,MIN,6.022277146585673,0,12.30042450042512,Medium,6.009644947269335,-0.7600292272968667,1.6587797411110738,0.769669242523165,0.5,0.25,0.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2026-09-15 19:31:18 -0400,1,00-0034577,Kyle Allen,QB,BUF,HOU,5.966851510043628,0,12.355872160913666,High,5.980945793679473,-0.11768846099117758,0.5114395124100752,1.4679742211862876,0.5,0.25,0.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2026-09-15 19:31:18 -0400,1,00-0039391,Kimani Vidal,RB,LAC,ARI,5.940086179566389,2.1128981503501643,9.4045956332148,Low,5.339770194966193,0,1.2113001001624115,0.8148057135246753,0.25,0.75,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2026-09-15 19:31:18 -0400,1,00-0041117,Athan Kaliakmanis,QB,WAS,PHI,5.877924255247145,0,12.221392356470504,Medium,6.009644947269335,-2.035933020657734,1.43251469584867,0.06869747759452563,0.5,0.25,0.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2026-09-15 19:31:18 -0400,1,00-0036893,Najee Harris,RB,NYG,DAL,5.66806205895401,2.0478228689096074,10.039870963497032,Medium,4.1906550461485725,0,1.1255106364068657,0.1731021543613983,0.25,0.75,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2026-09-15 19:31:18 -0400,1,00-0036879,Sam Ehlinger,QB,DEN,KC,5.548579310143493,0,12.10491930391317,High,5.980945793679473,-2.013646939469846,0.9678934173867532,0.3406198314812133,0.5,0.25,0.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2026-09-15 19:31:18 -0400,1,00-0035289,Gardner Minshew,QB,ARI,LAC,5.452531191345714,0,11.817783886947808,High,5.980945793679473,-0.4802270842117016,1.102339469799349,0.923778764093319,0.5,0.25,0.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2026-09-15 19:31:18 -0400,1,00-0035264,Jarrett Stidham,QB,DEN,KC,5.347124509001986,0,11.375962754217367,High,5.980945793679473,-2.013646939469846,0.8284575066981723,0.4224333376513164,0.5,0.25,0.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2026-09-15 19:31:18 -0400,1,00-0037012,Trey Lance,QB,LAC,ARI,5.315776639544746,0,11.556891491505828,Medium,6.009644947269335,-1.2508038858040178,1.8427619233619723,0.8530301307840964,0.5,0.25,0.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2026-09-15 19:31:18 -0400,1,00-0039916,Ricky Pearsall,WR,SF,LA,5.2121776990887625,1.5164858700469568,8.450368056856885,Medium,3.83141508023352,-0.09241018811852864,0.8919486364573933,0,0.25,0,0.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
